0, Key.caps_lock, PRESS
87, Key.caps_lock, RELEASE
173, 't', PRESS
275, 't', RELEASE
354, Key.caps_lock, PRESS
473, Key.caps_lock, RELEASE
554, 'h', PRESS
633, 'h', RELEASE
679, 'e', PRESS
789, 'e', RELEASE
927, Key.space, PRESS
1013, Key.space, RELEASE
1056, 'q', PRESS
1181, 'u', PRESS
1181, 'q', RELEASE
1229, 'u', RELEASE
1332, 'i', PRESS
1403, 'i', RELEASE
1519, 'c', PRESS
1630, 'c', RELEASE
1794, 'k', PRESS
1872, 'k', RELEASE
2011, Key.space, PRESS
2081, Key.space, RELEASE
2576, 'b', PRESS
2654, 'b', RELEASE
2822, 'r', PRESS
2900, 'r', RELEASE
2952, 'o', PRESS
2998, 'w', PRESS
3022, 'o', RELEASE
3082, 'w', RELEASE
3219, 'n', PRESS
3273, 'n', RELEASE
3454, Key.space, PRESS
3509, Key.space, RELEASE
4738, 'f', PRESS
4791, 'f', RELEASE
4955, 'o', PRESS
5026, 'o', RELEASE
5133, 'x', PRESS
5212, 'x', RELEASE
5394, Key.space, PRESS
5456, Key.space, RELEASE
5632, 'j', PRESS
5702, 'j', RELEASE
6551, 'u', PRESS
6602, 'u', RELEASE
6740, 'm', PRESS
6835, 'm', RELEASE
6898, 'p', PRESS
6976, 'p', RELEASE
7029, 's', PRESS
7154, Key.space, PRESS
7155, 's', RELEASE
7220, Key.space, RELEASE
7435, 'o', PRESS
7535, 'o', RELEASE
7535, 'v', PRESS
7637, 'v', RELEASE
7728, 'e', PRESS
7831, 'r', PRESS
7854, 'e', RELEASE
7940, 'r', RELEASE
7992, Key.space, PRESS
8092, Key.space, RELEASE
8092, 't', PRESS
8187, 't', RELEASE
8192, 'h', PRESS
8271, 'h', RELEASE
8272, 'e', PRESS
8350, Key.space, PRESS
8371, 'e', RELEASE
8411, Key.space, RELEASE
8480, 'l', PRESS
8555, 'a', PRESS
8605, 'l', RELEASE
8649, 'a', RELEASE
8746, 'z', PRESS
8854, 'y', PRESS
8854, 'z', RELEASE
8911, 'y', RELEASE
9003, Key.space, PRESS
9066, Key.space, RELEASE
9096, 'd', PRESS
9221, 'o', PRESS
9221, 'd', RELEASE
9302, 'o', RELEASE
9340, 'g', PRESS
9428, 'g', RELEASE
9649, '.', PRESS
9743, '.', RELEASE
