0, Key.caps_lock, PRESS
110, Key.caps_lock, RELEASE
162, 't', PRESS
272, 't', RELEASE
356, Key.caps_lock, PRESS
443, Key.caps_lock, RELEASE
516, 'h', PRESS
616, 'h', RELEASE
616, 'e', PRESS
750, 'e', RELEASE
868, Key.space, PRESS
971, Key.space, RELEASE
1138, 'q', PRESS
1264, 'q', RELEASE
1287, 'u', PRESS
1374, 'u', RELEASE
1467, 'i', PRESS
1577, 'i', RELEASE
1631, 'c', PRESS
1742, 'c', RELEASE
1804, 'k', PRESS
1906, 'k', RELEASE
2038, Key.space, PRESS
2108, Key.space, RELEASE
2542, 'b', PRESS
2620, 'b', RELEASE
2762, 'r', PRESS
2864, 'r', RELEASE
2914, 'o', PRESS
2959, 'w', PRESS
2992, 'o', RELEASE
3060, 'w', RELEASE
3121, 'n', PRESS
3200, 'n', RELEASE
3354, Key.space, PRESS
3432, Key.space, RELEASE
3677, 'f', PRESS
3763, 'f', RELEASE
3811, 'o', PRESS
3921, 'o', RELEASE
3921, 'x', PRESS
4060, 'x', RELEASE
4173, Key.space, PRESS
4260, Key.space, RELEASE
4398, 'j', PRESS
4501, 'j', RELEASE
4621, 'u', PRESS
4724, 'u', RELEASE
4832, 'm', PRESS
4942, 'm', RELEASE
5002, 'p', PRESS
5088, 'p', RELEASE
5122, 's', PRESS
5239, Key.space, PRESS
5239, 's', RELEASE
5298, Key.space, RELEASE
5393, 'o', PRESS
5486, 'o', RELEASE
5487, 'v', PRESS
5571, 'v', RELEASE
5654, 'e', PRESS
5733, 'r', PRESS
5755, 'e', RELEASE
5842, Key.space, PRESS
5842, 'r', RELEASE
5906, Key.space, RELEASE
5938, 't', PRESS
6016, 'h', PRESS
6016, 't', RELEASE
6110, 'h', RELEASE
6110, 'e', PRESS
6237, Key.space, PRESS
6238, 'e', RELEASE
6323, Key.space, RELEASE
6548, 'l', PRESS
6635, 'l', RELEASE
6770, 'z', PRESS
6887, 'z', RELEASE
7235, Key.backspace, PRESS
7290, Key.backspace, RELEASE
7618, 'a', PRESS
7720, 'a', RELEASE
7828, 'z', PRESS
7972, 'y', PRESS
7973, 'z', RELEASE
8065, 'y', RELEASE
8160, Key.space, PRESS
8256, Key.space, RELEASE
8303, 'd', PRESS
8408, 'o', PRESS
8429, 'd', RELEASE
8493, 'o', RELEASE
8547, 'g', PRESS
8651, 'g', RELEASE
8730, '.', PRESS
8848, '.', RELEASE
