0, Key.shift, PRESS
200, 'T', PRESS
246, 'T', RELEASE
354, Key.shift, RELEASE
560, 'h', PRESS
622, 'h', RELEASE
723, 'e', PRESS
786, 'e', RELEASE
868, Key.space, PRESS
954, Key.space, RELEASE
1493, 'q', PRESS
1563, 'q', RELEASE
1682, 'u', PRESS
1745, 'u', RELEASE
1879, 'i', PRESS
1940, 'i', RELEASE
2298, 'c', PRESS
2351, 'c', RELEASE
2425, 'k', PRESS
2495, 'k', RELEASE
2592, Key.space, PRESS
2670, Key.space, RELEASE
2922, 'b', PRESS
2985, 'b', RELEASE
3241, 'r', PRESS
3295, 'r', RELEASE
3428, 'o', PRESS
3497, 'o', RELEASE
3790, 'w', PRESS
3860, 'w', RELEASE
3922, 'n', PRESS
3984, 'n', RELEASE
4110, Key.space, PRESS
4162, Key.space, RELEASE
4283, 'f', PRESS
4337, 'f', RELEASE
4519, 'o', PRESS
4573, 'o', RELEASE
4839, 'x', PRESS
4909, 'x', RELEASE
5027, Key.space, PRESS
5089, Key.space, RELEASE
5413, 'j', PRESS
5460, 'j', RELEASE
5582, 'u', PRESS
5620, 'u', RELEASE
5815, 'm', PRESS
5877, 'm', RELEASE
6075, 'p', PRESS
6137, 'p', RELEASE
6355, 's', PRESS
6425, 's', RELEASE
6545, Key.space, PRESS
6622, Key.space, RELEASE
7917, 'o', PRESS
7970, 'o', RELEASE
8261, 'v', PRESS
8315, 'v', RELEASE
8391, 'e', PRESS
8468, 'e', RELEASE
8581, 'r', PRESS
8634, 'r', RELEASE
8831, Key.space, PRESS
8894, Key.space, RELEASE
9119, 't', PRESS
9173, 't', RELEASE
9216, 'h', PRESS
9278, 'h', RELEASE
9411, 'e', PRESS
9473, 'e', RELEASE
9572, Key.space, PRESS
9618, Key.space, RELEASE
10059, 'l', PRESS
10122, 'l', RELEASE
10185, 'a', PRESS
10247, 'a', RELEASE
10459, 'z', PRESS
10521, 'z', RELEASE
10618, 'y', PRESS
10672, 'y', RELEASE
10779, Key.space, PRESS
10841, Key.space, RELEASE
10950, 'd', PRESS
11004, 'd', RELEASE
11181, 'o', PRESS
11250, 'o', RELEASE
11688, 'g', PRESS
11741, 'g', RELEASE
12270, '.', PRESS
12332, '.', RELEASE
