0, Key.shift, PRESS
193, 'T', PRESS
215, 'T', RELEASE
507, Key.shift, RELEASE
1636, 'h', PRESS
1691, 'h', RELEASE
1859, 'e', PRESS
1912, 'e', RELEASE
2110, Key.space, PRESS
2179, Key.space, RELEASE
2640, 'q', PRESS
2718, 'q', RELEASE
2856, 'u', PRESS
2917, 'u', RELEASE
3024, 'i', PRESS
3086, 'i', RELEASE
3340, 'c', PRESS
3402, 'c', RELEASE
3464, 'k', PRESS
3533, 'k', RELEASE
3640, Key.space, PRESS
3718, Key.space, RELEASE
3896, 'b', PRESS
3941, 'b', RELEASE
4199, 'r', PRESS
4261, 'r', RELEASE
4402, 'o', PRESS
4464, 'o', RELEASE
4786, 'w', PRESS
4857, 'w', RELEASE
4932, 'n', PRESS
4986, 'n', RELEASE
5125, Key.space, PRESS
5170, Key.space, RELEASE
5352, 'f', PRESS
5413, 'f', RELEASE
5592, 'o', PRESS
5654, 'o', RELEASE
5919, 'x', PRESS
5981, 'x', RELEASE
6060, Key.space, PRESS
6099, Key.space, RELEASE
6326, 'j', PRESS
6387, 'j', RELEASE
6516, 'u', PRESS
6560, 'u', RELEASE
6746, 'm', PRESS
6791, 'm', RELEASE
7255, 'p', PRESS
7332, 'p', RELEASE
7559, 's', PRESS
7620, 's', RELEASE
7827, Key.space, PRESS
7880, Key.space, RELEASE
8776, 'o', PRESS
8846, 'o', RELEASE
9306, 'v', PRESS
9358, 'v', RELEASE
9423, 'e', PRESS
9492, 'e', RELEASE
9597, 'r', PRESS
9659, 'r', RELEASE
9714, Key.space, PRESS
9769, Key.space, RELEASE
9889, 't', PRESS
9943, 't', RELEASE
9959, 'h', PRESS
10013, 'h', RELEASE
10170, 'e', PRESS
10224, 'e', RELEASE
10333, Key.space, PRESS
10387, Key.space, RELEASE
10660, 'l', PRESS
10707, 'l', RELEASE
10946, 'a', PRESS
11000, 'a', RELEASE
11235, 'z', PRESS
11287, 'z', RELEASE
11413, 'y', PRESS
11467, 'y', RELEASE
11619, Key.space, PRESS
11681, Key.space, RELEASE
12000, 'd', PRESS
12062, 'd', RELEASE
12188, 'o', PRESS
12250, 'o', RELEASE
12512, 'g', PRESS
12574, 'g', RELEASE
13044, '.', PRESS
13098, '.', RELEASE
