0, Key.caps_lock, PRESS
85, Key.caps_lock, RELEASE
233, 't', PRESS
304, 't', RELEASE
481, Key.caps_lock, PRESS
560, Key.caps_lock, RELEASE
737, 'h', PRESS
791, 'h', RELEASE
981, 'e', PRESS
1034, 'e', RELEASE
1157, Key.space, PRESS
1203, Key.space, RELEASE
1725, 'q', PRESS
1787, 'q', RELEASE
1852, 'u', PRESS
1914, 'u', RELEASE
2059, 'i', PRESS
2121, 'i', RELEASE
2948, 'c', PRESS
3010, 'c', RELEASE
3107, 'k', PRESS
3169, 'k', RELEASE
3607, Key.space, PRESS
3676, Key.space, RELEASE
3972, 'b', PRESS
4018, 'b', RELEASE
4789, 'r', PRESS
4834, 'r', RELEASE
4953, 'o', PRESS
5008, 'o', RELEASE
5463, 'w', PRESS
5533, 'w', RELEASE
5630, 'n', PRESS
5691, 'n', RELEASE
5861, Key.space, PRESS
5924, Key.space, RELEASE
6587, 'f', PRESS
6648, 'f', RELEASE
6865, 'o', PRESS
6926, 'o', RELEASE
7329, 'x', PRESS
7390, 'x', RELEASE
7525, Key.space, PRESS
7570, Key.space, RELEASE
8012, 'j', PRESS
8073, 'j', RELEASE
8197, 'u', PRESS
8252, 'u', RELEASE
8476, 'm', PRESS
8538, 'm', RELEASE
8829, 'p', PRESS
8889, 'p', RELEASE
9207, 's', PRESS
9275, 's', RELEASE
9396, Key.space, PRESS
9482, Key.space, RELEASE
9637, 'o', PRESS
9692, 'o', RELEASE
10082, 'v', PRESS
10128, 'v', RELEASE
10277, 'e', PRESS
10353, 'e', RELEASE
10483, 'r', PRESS
10545, 'r', RELEASE
10744, Key.space, PRESS
10797, Key.space, RELEASE
10953, 't', PRESS
11007, 't', RELEASE
11083, 'h', PRESS
11138, 'h', RELEASE
11273, 'e', PRESS
11327, 'e', RELEASE
11432, Key.space, PRESS
11478, Key.space, RELEASE
11915, 'l', PRESS
11953, 'l', RELEASE
12313, 'a', PRESS
12368, 'a', RELEASE
12732, 'z', PRESS
12809, 'z', RELEASE
13060, 'y', PRESS
13122, 'y', RELEASE
13500, Key.space, PRESS
13569, Key.space, RELEASE
14277, 'f', PRESS
14331, 'f', RELEASE
14408, 'o', PRESS
14470, 'o', RELEASE
14889, 'x', PRESS
14952, 'x', RELEASE
15225, '.', PRESS
15294, '.', RELEASE
