0, Key.shift, PRESS
200, 'T', PRESS
270, 'T', RELEASE
330, Key.shift, RELEASE
413, 'h', PRESS
459, 'h', RELEASE
515, 'e', PRESS
586, 'e', RELEASE
610, Key.space, PRESS
680, Key.space, RELEASE
945, 'q', PRESS
1048, 'u', PRESS
1048, 'q', RELEASE
1136, 'u', RELEASE
1172, 'i', PRESS
1235, 'i', RELEASE
1328, 'c', PRESS
1415, 'c', RELEASE
1500, 'k', PRESS
1594, 'k', RELEASE
1752, Key.space, PRESS
1823, Key.space, RELEASE
1994, 'b', PRESS
2089, 'b', RELEASE
2261, 'r', PRESS
2331, 'r', RELEASE
2399, 'o', PRESS
2461, 'o', RELEASE
2590, 'w', PRESS
2652, 'w', RELEASE
2749, 'n', PRESS
2853, 'n', RELEASE
2904, Key.space, PRESS
2990, Key.space, RELEASE
3296, 'f', PRESS
3383, 'f', RELEASE
3476, 'o', PRESS
3547, 'o', RELEASE
3598, 'x', PRESS
3661, 'x', RELEASE
3724, Key.space, PRESS
3810, Key.space, RELEASE
3865, 'j', PRESS
3952, 'j', RELEASE
4044, 'u', PRESS
4098, 'u', RELEASE
4204, 'm', PRESS
4274, 'm', RELEASE
4334, 'p', PRESS
4397, 'p', RELEASE
4474, 's', PRESS
4544, 's', RELEASE
4645, Key.space, PRESS
4731, Key.space, RELEASE
4877, 'o', PRESS
4955, 'o', RELEASE
5190, 'c', PRESS
5269, 'c', RELEASE
5700, Key.backspace, PRESS
5786, Key.backspace, RELEASE
6061, 'v', PRESS
6131, 'v', RELEASE
6474, 'e', PRESS
6616, 'e', RELEASE
6656, 'r', PRESS
6767, 'r', RELEASE
6821, Key.space, PRESS
6900, Key.space, RELEASE
6982, 't', PRESS
7061, 't', RELEASE
7095, 'h', PRESS
7196, 'h', RELEASE
7196, 'e', PRESS
7273, Key.space, PRESS
7273, 'e', RELEASE
7339, Key.space, RELEASE
7398, 'l', PRESS
7493, 'l', RELEASE
7513, 'a', PRESS
7599, 'a', RELEASE
7735, 'z', PRESS
7813, 'z', RELEASE
7872, 'y', PRESS
7943, 'y', RELEASE
8364, Key.space, PRESS
8442, Key.space, RELEASE
8530, 'd', PRESS
8601, 'd', RELEASE
8618, 'o', PRESS
8696, 'o', RELEASE
9888, '.', PRESS
9928, '.', RELEASE
11234, Key.backspace, PRESS
11304, Key.backspace, RELEASE
11560, 'g', PRESS
11590, 'g', RELEASE
12306, '.', PRESS
12344, '.', RELEASE
