0, Key.caps_lock, PRESS
71, Key.caps_lock, RELEASE
234, 't', PRESS
297, 't', RELEASE
453, Key.caps_lock, PRESS
531, Key.caps_lock, RELEASE
692, 'h', PRESS
746, 'h', RELEASE
900, 'e', PRESS
945, 'e', RELEASE
1046, Key.space, PRESS
1116, Key.space, RELEASE
1536, 'q', PRESS
1623, 'q', RELEASE
1703, 'u', PRESS
1765, 'u', RELEASE
1892, 'i', PRESS
1953, 'i', RELEASE
2311, 'c', PRESS
2366, 'c', RELEASE
2440, 'k', PRESS
2510, 'k', RELEASE
2637, Key.space, PRESS
2707, Key.space, RELEASE
3283, 'b', PRESS
3328, 'b', RELEASE
3556, 'r', PRESS
3602, 'r', RELEASE
3838, 'o', PRESS
3899, 'o', RELEASE
4228, 'w', PRESS
4290, 'w', RELEASE
4386, 'n', PRESS
4448, 'n', RELEASE
4606, Key.space, PRESS
4660, Key.space, RELEASE
4916, 'f', PRESS
4970, 'f', RELEASE
5119, 'o', PRESS
5181, 'o', RELEASE
5759, 'x', PRESS
5814, 'x', RELEASE
5915, Key.space, PRESS
5968, Key.space, RELEASE
6181, 'j', PRESS
6227, 'j', RELEASE
6364, 'u', PRESS
6417, 'u', RELEASE
6626, 'm', PRESS
6680, 'm', RELEASE
6913, 'p', PRESS
6991, 'p', RELEASE
7547, 's', PRESS
7617, 's', RELEASE
7760, Key.space, PRESS
7837, Key.space, RELEASE
7948, 'o', PRESS
8009, 'o', RELEASE
8399, 'v', PRESS
8454, 'v', RELEASE
8532, 'e', PRESS
8601, 'e', RELEASE
8723, 'r', PRESS
8785, 'r', RELEASE
8849, Key.space, PRESS
8903, Key.space, RELEASE
9056, 't', PRESS
9101, 't', RELEASE
9182, 'h', PRESS
9244, 'h', RELEASE
9478, 'e', PRESS
9531, 'e', RELEASE
9614, Key.space, PRESS
9668, Key.space, RELEASE
9940, 'l', PRESS
10002, 'l', RELEASE
10235, 'a', PRESS
10287, 'a', RELEASE
10590, 'z', PRESS
10651, 'z', RELEASE
10729, 'y', PRESS
10790, 'y', RELEASE
10937, Key.space, PRESS
10999, Key.space, RELEASE
11687, 'd', PRESS
11733, 'd', RELEASE
11816, 'o', PRESS
11886, 'o', RELEASE
12080, 'g', PRESS
12134, 'g', RELEASE
13841, '.', PRESS
13895, '.', RELEASE
