0, Key.shift, PRESS
137, 'T', PRESS
207, 'T', RELEASE
275, Key.shift, RELEASE
378, 'h', PRESS
425, 'h', RELEASE
488, 'e', PRESS
567, 'e', RELEASE
590, Key.space, PRESS
677, Key.space, RELEASE
923, 'q', PRESS
1017, 'q', RELEASE
1051, 'u', PRESS
1160, 'u', RELEASE
1176, 'i', PRESS
1238, 'i', RELEASE
1337, 'c', PRESS
1407, 'c', RELEASE
1663, 'k', PRESS
1782, 'k', RELEASE
1927, Key.space, PRESS
2029, Key.space, RELEASE
2324, 'b', PRESS
2389, 'b', RELEASE
2553, 'r', PRESS
2631, 'r', RELEASE
2723, 'o', PRESS
2801, 'o', RELEASE
2867, 'w', PRESS
2945, 'w', RELEASE
3013, 'n', PRESS
3078, Key.space, PRESS
3114, 'n', RELEASE
3171, Key.space, RELEASE
3367, 'f', PRESS
3460, 'f', RELEASE
3509, 'o', PRESS
3571, 'o', RELEASE
3660, 'x', PRESS
3747, 'x', RELEASE
3781, Key.space, PRESS
3851, Key.space, RELEASE
3922, 'j', PRESS
4000, 'j', RELEASE
4090, 'u', PRESS
4129, 'u', RELEASE
4260, 'm', PRESS
4330, 'm', RELEASE
4412, 'p', PRESS
4514, 'p', RELEASE
4835, 's', PRESS
4929, 's', RELEASE
4976, Key.space, PRESS
5077, Key.space, RELEASE
5168, 'o', PRESS
5247, 'o', RELEASE
5366, 'v', PRESS
5476, 'v', RELEASE
5559, 'e', PRESS
5638, 'e', RELEASE
5674, 'r', PRESS
5759, 'r', RELEASE
5785, Key.space, PRESS
5856, Key.space, RELEASE
5954, 't', PRESS
6024, 't', RELEASE
6065, 'h', PRESS
6128, 'h', RELEASE
6163, 'e', PRESS
6248, Key.space, PRESS
6249, 'e', RELEASE
6322, Key.space, RELEASE
6409, 'l', PRESS
6487, 'l', RELEASE
6572, 'a', PRESS
6667, 'a', RELEASE
6840, 'z', PRESS
6926, 'z', RELEASE
7010, 'y', PRESS
7089, 'y', RELEASE
7147, Key.space, PRESS
7219, Key.space, RELEASE
7283, 'd', PRESS
7379, 'o', PRESS
7379, 'd', RELEASE
7450, 'o', RELEASE
7859, 'g', PRESS
7924, 'g', RELEASE
8329, '.', PRESS
8391, '.', RELEASE
