0, Key.shift, PRESS
201, 'T', PRESS
247, 'T', RELEASE
331, Key.shift, RELEASE
406, 'h', PRESS
469, 'h', RELEASE
558, 'e', PRESS
644, 'e', RELEASE
689, Key.space, PRESS
776, Key.space, RELEASE
864, 'q', PRESS
960, 'u', PRESS
960, 'q', RELEASE
1046, 'u', RELEASE
1084, 'i', PRESS
1170, 'i', RELEASE
1242, 'c', PRESS
1337, 'c', RELEASE
1387, 'k', PRESS
1474, 'k', RELEASE
1524, Key.space, PRESS
1611, Key.space, RELEASE
1822, 'v', PRESS
1955, 'v', RELEASE
2074, 'r', PRESS
2161, 'r', RELEASE
2279, 'o', PRESS
2350, 'o', RELEASE
2419, 'w', PRESS
2505, 'w', RELEASE
2639, 'n', PRESS
2725, 'n', RELEASE
4605, Key.backspace, PRESS
4667, Key.backspace, RELEASE
4766, Key.backspace, PRESS
4828, Key.backspace, RELEASE
4931, Key.backspace, PRESS
4986, Key.backspace, RELEASE
5104, Key.backspace, PRESS
5175, Key.backspace, RELEASE
5513, Key.backspace, PRESS
5574, Key.backspace, RELEASE
5772, 'b', PRESS
5851, 'b', RELEASE
6027, 'r', PRESS
6107, 'r', RELEASE
6200, 'o', PRESS
6280, 'o', RELEASE
6341, 'w', PRESS
6419, 'w', RELEASE
6507, 'n', PRESS
6586, 'n', RELEASE
6646, Key.space, PRESS
6701, Key.space, RELEASE
7062, 'f', PRESS
7140, 'f', RELEASE
7211, 'o', PRESS
7288, 'o', RELEASE
7380, 'x', PRESS
7467, 'x', RELEASE
7510, Key.space, PRESS
7589, Key.space, RELEASE
7893, 'j', PRESS
7987, 'j', RELEASE
8078, 'u', PRESS
8141, 'u', RELEASE
8263, 'm', PRESS
8328, 'm', RELEASE
8389, 'p', PRESS
8491, 'p', RELEASE
8574, 's', PRESS
8660, 's', RELEASE
8678, Key.space, PRESS
8789, Key.space, RELEASE
9255, 'o', PRESS
9334, 'o', RELEASE
9473, 'v', PRESS
9552, 'v', RELEASE
9604, 'e', PRESS
9683, 'e', RELEASE
9829, Key.space, PRESS
9915, Key.space, RELEASE
10406, Key.backspace, PRESS
10453, Key.backspace, RELEASE
10822, 'r', PRESS
10892, 'r', RELEASE
10981, Key.space, PRESS
11067, Key.space, RELEASE
11122, 't', PRESS
11192, 't', RELEASE
11336, 'e', PRESS
11395, Key.space, PRESS
11414, 'e', RELEASE
11480, Key.space, RELEASE
11554, 'l', PRESS
11649, 'l', RELEASE
12006, Key.backspace, PRESS
12083, Key.backspace, RELEASE
12176, Key.backspace, PRESS
12223, Key.backspace, RELEASE
12319, Key.backspace, PRESS
12382, Key.backspace, RELEASE
12793, 'h', PRESS
12864, 'h', RELEASE
12986, 'e', PRESS
13064, 'e', RELEASE
13106, Key.space, PRESS
13166, 'l', PRESS
13182, Key.space, RELEASE
13275, 'l', RELEASE
13483, 'z', PRESS
13523, 'z', RELEASE
13897, Key.backspace, PRESS
14023, Key.backspace, RELEASE
14100, 'a', PRESS
14194, 'a', RELEASE
14316, 'z', PRESS
14411, 'z', RELEASE
14544, 'y', PRESS
14647, 'y', RELEASE
14725, Key.space, PRESS
14811, Key.space, RELEASE
15009, 'o', PRESS
15080, 'o', RELEASE
15535, Key.backspace, PRESS
15654, Key.backspace, RELEASE
15701, 'd', PRESS
15779, 'd', RELEASE
15856, 'o', PRESS
15958, 'o', RELEASE
16039, 'g', PRESS
16109, 'g', RELEASE
16386, '.', PRESS
16448, '.', RELEASE
