0, Key.caps_lock, PRESS
87, Key.caps_lock, RELEASE
151, 't', PRESS
269, 't', RELEASE
322, Key.caps_lock, PRESS
409, Key.caps_lock, RELEASE
482, 'h', PRESS
575, 'h', RELEASE
575, 'e', PRESS
692, Key.space, PRESS
692, 'e', RELEASE
797, Key.space, RELEASE
892, 'q', PRESS
1019, 'u', PRESS
1019, 'q', RELEASE
1098, 'u', RELEASE
1210, 'i', PRESS
1305, 'i', RELEASE
1445, 'c', PRESS
1556, 'c', RELEASE
1580, 'k', PRESS
1667, 'k', RELEASE
1787, Key.space, PRESS
1867, Key.space, RELEASE
2564, 'b', PRESS
2658, 'b', RELEASE
2793, 'r', PRESS
2903, 'r', RELEASE
2974, 'o', PRESS
3077, 'o', RELEASE
3254, 'w', PRESS
3364, 'w', RELEASE
3464, 'n', PRESS
3566, 'n', RELEASE
3646, Key.space, PRESS
3753, Key.space, RELEASE
3754, 'f', PRESS
3848, 'o', PRESS
3849, 'f', RELEASE
3950, 'o', RELEASE
3979, 'x', PRESS
4153, 'x', RELEASE
4202, Key.space, PRESS
4297, Key.space, RELEASE
4378, 'j', PRESS
4472, 'j', RELEASE
4558, 'u', PRESS
4661, 'u', RELEASE
4764, 'm', PRESS
4882, 'm', RELEASE
4940, 'p', PRESS
5026, 'p', RELEASE
5108, 's', PRESS
5203, 's', RELEASE
5237, Key.space, PRESS
5316, Key.space, RELEASE
5403, 'o', PRESS
5472, 'v', PRESS
5496, 'o', RELEASE
5574, 'v', RELEASE
5639, 'e', PRESS
5718, 'r', PRESS
5741, 'e', RELEASE
5819, 'r', RELEASE
5836, Key.space, PRESS
5930, Key.space, RELEASE
5930, 't', PRESS
6014, 'h', PRESS
6014, 't', RELEASE
6115, 'h', RELEASE
6115, 'e', PRESS
6203, Key.space, PRESS
6238, 'e', RELEASE
6280, Key.space, RELEASE
6381, 'l', PRESS
6449, 'a', PRESS
6514, 'l', RELEASE
6534, 'a', RELEASE
6648, 'z', PRESS
6782, 'y', PRESS
6782, 'z', RELEASE
6870, 'y', RELEASE
7059, Key.space, PRESS
7138, Key.space, RELEASE
7264, 'd', PRESS
7399, 'o', PRESS
7399, 'd', RELEASE
7485, 'o', RELEASE
7549, 'g', PRESS
7659, 'g', RELEASE
7765, '.', PRESS
7908, '.', RELEASE
