0, Key.caps_lock, PRESS
118, Key.caps_lock, RELEASE
661, 't', PRESS
804, 't', RELEASE
1075, Key.caps_lock, PRESS
1186, Key.caps_lock, RELEASE
4604, 'h', PRESS
4675, 'h', RELEASE
5098, 'e', PRESS
5200, 'e', RELEASE
5415, Key.space, PRESS
5494, Key.space, RELEASE
5673, 'q', PRESS
5799, 'u', PRESS
5799, 'q', RELEASE
5855, 'u', RELEASE
5952, 'i', PRESS
6027, 'i', RELEASE
6073, 'c', PRESS
6168, 'c', RELEASE
6186, 'k', PRESS
6263, 'k', RELEASE
6366, Key.space, PRESS
6452, Key.space, RELEASE
6791, 'b', PRESS
6877, 'b', RELEASE
7251, 'r', PRESS
7320, 'r', RELEASE
7396, 'o', PRESS
7481, 'o', RELEASE
7481, 'w', PRESS
7581, 'w', RELEASE
7610, 'n', PRESS
7680, 'n', RELEASE
7806, Key.space, PRESS
7869, Key.space, RELEASE
7954, 'f', PRESS
8057, 'f', RELEASE
8083, 'o', PRESS
8175, 'o', RELEASE
8175, 'x', PRESS
8292, 'x', RELEASE
8575, Key.space, PRESS
8653, Key.space, RELEASE
8995, 'j', PRESS
9072, 'j', RELEASE
9213, 'u', PRESS
9267, 'u', RELEASE
9364, 'm', PRESS
9468, 'm', RELEASE
9511, 'p', PRESS
9581, 'p', RELEASE
9652, 's', PRESS
9755, 's', RELEASE
9844, Key.space, PRESS
9922, Key.space, RELEASE
10162, 'o', PRESS
10254, 'o', RELEASE
10254, 'v', PRESS
10324, 'v', RELEASE
10404, 'e', PRESS
10536, 'r', PRESS
10536, 'e', RELEASE
10615, 'r', RELEASE
10655, Key.space, PRESS
10748, Key.space, RELEASE
10749, 't', PRESS
10824, 't', RELEASE
10853, 'h', PRESS
10931, 'h', RELEASE
10931, 'e', PRESS
11039, Key.space, PRESS
11040, 'e', RELEASE
11105, Key.space, RELEASE
11185, 'l', PRESS
11294, 'l', RELEASE
11294, 'a', PRESS
11409, 'a', RELEASE
11516, 'z', PRESS
11642, 'z', RELEASE
11660, 'y', PRESS
11739, 'y', RELEASE
11875, Key.space, PRESS
11945, Key.space, RELEASE
12079, 'd', PRESS
12205, 'd', RELEASE
12222, 'o', PRESS
12300, 'o', RELEASE
12397, 'g', PRESS
12483, 'g', RELEASE
12837, '.', PRESS
12956, '.', RELEASE
