0, Key.shift, PRESS
240, 'T', PRESS
294, 'T', RELEASE
402, Key.shift, RELEASE
638, 'h', PRESS
700, 'h', RELEASE
777, 'e', PRESS
830, 'e', RELEASE
925, Key.space, PRESS
1002, Key.space, RELEASE
1505, 'q', PRESS
1581, 'q', RELEASE
1647, 'u', PRESS
1718, 'u', RELEASE
1842, 'i', PRESS
1888, 'i', RELEASE
2269, 'c', PRESS
2314, 'c', RELEASE
2383, 'k', PRESS
2445, 'k', RELEASE
2554, Key.space, PRESS
2641, Key.space, RELEASE
2824, 'b', PRESS
2869, 'b', RELEASE
3106, 'r', PRESS
3176, 'r', RELEASE
3307, 'o', PRESS
3361, 'o', RELEASE
3608, 'w', PRESS
3678, 'w', RELEASE
3792, 'n', PRESS
3863, 'n', RELEASE
4015, Key.space, PRESS
4077, Key.space, RELEASE
4216, 'f', PRESS
4278, 'f', RELEASE
4470, 'o', PRESS
4523, 'o', RELEASE
4781, 'x', PRESS
4835, 'x', RELEASE
5470, Key.space, PRESS
5523, Key.space, RELEASE
5804, 'j', PRESS
5866, 'j', RELEASE
5992, 'u', PRESS
6038, 'u', RELEASE
6227, 'm', PRESS
6280, 'm', RELEASE
6491, 'p', PRESS
6537, 'p', RELEASE
6882, 's', PRESS
6960, 's', RELEASE
7191, Key.space, PRESS
7261, Key.space, RELEASE
7627, 'o', PRESS
7689, 'o', RELEASE
8025, 'v', PRESS
8074, 'v', RELEASE
8122, 'e', PRESS
8192, 'e', RELEASE
8310, 'r', PRESS
8371, 'r', RELEASE
8401, Key.space, PRESS
8463, Key.space, RELEASE
8610, 't', PRESS
8656, 't', RELEASE
8701, 'h', PRESS
8771, 'h', RELEASE
8911, 'e', PRESS
8965, 'e', RELEASE
9065, Key.space, PRESS
9127, Key.space, RELEASE
9414, 'l', PRESS
9468, 'l', RELEASE
9604, 'a', PRESS
9674, 'a', RELEASE
9965, 'z', PRESS
10035, 'z', RELEASE
10135, 'y', PRESS
10197, 'y', RELEASE
10368, Key.space, PRESS
10454, Key.space, RELEASE
11493, 'd', PRESS
11572, 'd', RELEASE
11690, 'o', PRESS
11776, 'o', RELEASE
12016, 'g', PRESS
12070, 'g', RELEASE
12430, '.', PRESS
12484, '.', RELEASE
