0, Key.caps_lock, PRESS
118, Key.caps_lock, RELEASE
298, 't', PRESS
416, 't', RELEASE
494, Key.caps_lock, PRESS
564, Key.caps_lock, RELEASE
1149, 'h', PRESS
1242, 'h', RELEASE
1604, 'e', PRESS
1713, 'e', RELEASE
1753, Key.space, PRESS
1863, Key.space, RELEASE
1885, 'q', PRESS
1996, 'q', RELEASE
2030, 'u', PRESS
2149, 'u', RELEASE
2340, 'i', PRESS
2450, 'i', RELEASE
2548, 'c', PRESS
2617, 'c', RELEASE
2676, 'k', PRESS
2804, 'k', RELEASE
3524, Key.space, PRESS
3627, Key.space, RELEASE
4150, 'b', PRESS
4229, 'b', RELEASE
4527, 'r', PRESS
4635, 'r', RELEASE
4697, 'o', PRESS
4807, 'o', RELEASE
4807, 'w', PRESS
4907, 'w', RELEASE
4946, 'n', PRESS
5057, 'n', RELEASE
5515, Key.space, PRESS
5649, Key.space, RELEASE
5763, 'f', PRESS
5842, 'f', RELEASE
5967, 'o', PRESS
6069, 'o', RELEASE
6154, 'x', PRESS
6256, 'x', RELEASE
6332, Key.space, PRESS
6442, Key.space, RELEASE
6824, 'j', PRESS
6879, 'j', RELEASE
7019, 'u', PRESS
7082, 'u', RELEASE
7187, 'm', PRESS
7281, 'm', RELEASE
7319, 'p', PRESS
7415, 'p', RELEASE
7437, 's', PRESS
7539, 's', RELEASE
7603, Key.space, PRESS
7689, Key.space, RELEASE
7851, 'o', PRESS
7943, 'o', RELEASE
7944, 'v', PRESS
8052, 'v', RELEASE
8144, 'e', PRESS
8239, 'r', PRESS
8285, 'e', RELEASE
8396, 'r', RELEASE
8470, Key.space, PRESS
8564, Key.space, RELEASE
8565, 't', PRESS
8663, 'h', PRESS
8664, 't', RELEASE
8764, 'h', RELEASE
8765, 'e', PRESS
8881, Key.space, PRESS
8882, 'e', RELEASE
8939, Key.space, RELEASE
9010, 'l', PRESS
9132, 'l', RELEASE
9132, 'a', PRESS
9242, 'a', RELEASE
9602, Key.backspace, PRESS
9688, Key.backspace, RELEASE
9963, 'a', PRESS
10041, 'a', RELEASE
10161, 'z', PRESS
10289, 'z', RELEASE
10543, 'y', PRESS
10653, 'y', RELEASE
10879, Key.space, PRESS
10980, Key.space, RELEASE
11044, 'd', PRESS
11132, 'o', PRESS
11153, 'd', RELEASE
11218, 'o', RELEASE
11796, 'g', PRESS
11923, 'g', RELEASE
14743, '.', PRESS
14852, '.', RELEASE
