0, Key.shift, PRESS
144, 'T', PRESS
231, 'T', RELEASE
284, Key.shift, RELEASE
370, 'h', PRESS
417, 'h', RELEASE
489, 'e', PRESS
552, 'e', RELEASE
570, Key.space, PRESS
663, Key.space, RELEASE
1138, 'q', PRESS
1241, 'u', PRESS
1241, 'q', RELEASE
1327, 'u', RELEASE
1352, 'i', PRESS
1432, 'i', RELEASE
1510, 'c', PRESS
1581, 'c', RELEASE
1622, 'k', PRESS
1716, 'k', RELEASE
1810, Key.space, PRESS
1889, Key.space, RELEASE
2309, 'b', PRESS
2395, 'b', RELEASE
3011, 'r', PRESS
3105, 'r', RELEASE
3183, 'w', PRESS
3261, 'w', RELEASE
3362, 'o', PRESS
3433, 'o', RELEASE
3572, 'n', PRESS
3658, 'n', RELEASE
4059, Key.backspace, PRESS
4098, Key.backspace, RELEASE
4194, Key.backspace, PRESS
4289, Key.backspace, RELEASE
4883, Key.backspace, PRESS
4977, Key.backspace, RELEASE
5176, 'o', PRESS
5287, 'o', RELEASE
5444, 'w', PRESS
5515, 'w', RELEASE
5557, 'n', PRESS
5652, 'n', RELEASE
5753, Key.space, PRESS
5840, Key.space, RELEASE
5934, 'f', PRESS
6052, 'o', PRESS
6052, 'f', RELEASE
6108, 'o', RELEASE
6240, 'x', PRESS
6325, 'x', RELEASE
6825, Key.space, PRESS
6904, Key.space, RELEASE
6948, 'j', PRESS
7026, 'j', RELEASE
7113, 'u', PRESS
7168, 'u', RELEASE
7290, 'm', PRESS
7377, 'm', RELEASE
7483, 'p', PRESS
7571, 'p', RELEASE
7824, 's', PRESS
7918, 's', RELEASE
7954, Key.space, PRESS
8090, Key.space, RELEASE
8177, 'o', PRESS
8230, 'o', RELEASE
8355, 'b', PRESS
8449, 'b', RELEASE
8717, Key.backspace, PRESS
8810, Key.backspace, RELEASE
8841, 'v', PRESS
8943, 'v', RELEASE
9035, 'e', PRESS
9121, 'e', RELEASE
9150, 'r', PRESS
9277, 'r', RELEASE
9317, Key.space, PRESS
9404, Key.space, RELEASE
9476, 't', PRESS
9571, 't', RELEASE
9647, 'h', PRESS
9740, 'h', RELEASE
9740, 'e', PRESS
9825, Key.space, PRESS
9825, 'e', RELEASE
9898, Key.space, RELEASE
9996, 'l', PRESS
10090, 'l', RELEASE
10116, 'a', PRESS
10211, 'a', RELEASE
10330, 'z', PRESS
10417, 'z', RELEASE
10476, 'y', PRESS
10554, 'y', RELEASE
10599, Key.space, PRESS
10677, Key.space, RELEASE
10720, 'd', PRESS
10815, 'd', RELEASE
10850, 'o', PRESS
10913, 'o', RELEASE
10971, 'g', PRESS
11050, 'g', RELEASE
11560, '.', PRESS
11607, '.', RELEASE
