0, Key.caps_lock, PRESS
86, Key.caps_lock, RELEASE
185, 't', PRESS
280, 't', RELEASE
360, Key.caps_lock, PRESS
455, Key.caps_lock, RELEASE
488, 'h', PRESS
550, 'h', RELEASE
615, 'e', PRESS
709, 'e', RELEASE
748, Key.space, PRESS
827, Key.space, RELEASE
974, 'q', PRESS
1084, 'q', RELEASE
1113, 'u', PRESS
1184, 'u', RELEASE
1291, 'i', PRESS
1371, 'i', RELEASE
1438, 'c', PRESS
1556, 'c', RELEASE
1643, 'k', PRESS
1737, 'k', RELEASE
1900, Key.space, PRESS
1963, Key.space, RELEASE
3854, 'b', PRESS
3941, 'b', RELEASE
4066, 'r', PRESS
4128, 'r', RELEASE
4226, 'o', PRESS
4324, 'o', RELEASE
4325, 'w', PRESS
4411, 'w', RELEASE
4461, 'n', PRESS
4539, 'n', RELEASE
4718, Key.space, PRESS
4780, Key.space, RELEASE
5109, 'f', PRESS
5235, 'f', RELEASE
5295, 'o', PRESS
5374, 'o', RELEASE
5717, 'x', PRESS
5835, 'x', RELEASE
6183, Key.space, PRESS
6246, Key.space, RELEASE
6587, 'j', PRESS
6650, 'j', RELEASE
6756, 'u', PRESS
6835, 'u', RELEASE
6907, 'm', PRESS
7025, 'm', RELEASE
7055, 'p', PRESS
7142, 'p', RELEASE
7173, 's', PRESS
7309, Key.space, PRESS
7310, 's', RELEASE
7380, Key.space, RELEASE
7493, 'o', PRESS
7587, 'o', RELEASE
7587, 'v', PRESS
7680, 'v', RELEASE
7746, 'e', PRESS
7855, 'r', PRESS
7855, 'e', RELEASE
7943, Key.space, PRESS
7943, 'r', RELEASE
8022, Key.space, RELEASE
8044, 't', PRESS
8146, 'h', PRESS
8146, 't', RELEASE
8223, 'h', RELEASE
8224, 'e', PRESS
8296, Key.space, PRESS
8324, 'e', RELEASE
8366, Key.space, RELEASE
8411, 'l', PRESS
8494, 'a', PRESS
8535, 'l', RELEASE
8595, 'a', RELEASE
8770, 'z', PRESS
8864, 'z', RELEASE
8881, 'y', PRESS
8952, 'y', RELEASE
9179, Key.space, PRESS
9234, Key.space, RELEASE
9414, 'd', PRESS
9532, 'o', PRESS
9532, 'd', RELEASE
9620, 'o', RELEASE
9743, 'g', PRESS
9814, 'g', RELEASE
10085, '.', PRESS
10195, '.', RELEASE
