0, Key.caps_lock, PRESS
71, Key.caps_lock, RELEASE
190, 't', PRESS
252, 't', RELEASE
368, Key.caps_lock, PRESS
454, Key.caps_lock, RELEASE
608, 'h', PRESS
653, 'h', RELEASE
1340, 'e', PRESS
1387, 'e', RELEASE
1990, Key.space, PRESS
2044, Key.space, RELEASE
2713, 'q', PRESS
2783, 'q', RELEASE
2878, 'u', PRESS
2932, 'u', RELEASE
3064, 'i', PRESS
3125, 'i', RELEASE
3394, 'c', PRESS
3447, 'c', RELEASE
3500, 'k', PRESS
3561, 'k', RELEASE
3709, Key.space, PRESS
3771, Key.space, RELEASE
4056, 'b', PRESS
4109, 'b', RELEASE
4445, 'r', PRESS
4491, 'r', RELEASE
4587, 'o', PRESS
4632, 'o', RELEASE
5031, 'w', PRESS
5099, 'w', RELEASE
5236, 'n', PRESS
5298, 'n', RELEASE
5429, Key.space, PRESS
5491, Key.space, RELEASE
5864, 'f', PRESS
5911, 'f', RELEASE
6207, 'o', PRESS
6267, 'o', RELEASE
6648, 'x', PRESS
6711, 'x', RELEASE
7192, Key.space, PRESS
7262, Key.space, RELEASE
7463, 'j', PRESS
7517, 'j', RELEASE
7628, 'u', PRESS
7666, 'u', RELEASE
7909, 'm', PRESS
7939, 'm', RELEASE
8199, 'o', PRESS
8252, 'o', RELEASE
9000, Key.backspace, PRESS
9062, Key.backspace, RELEASE
10996, 'm', PRESS
11050, 'm', RELEASE
11369, 'p', PRESS
11432, 'p', RELEASE
11497, 's', PRESS
11575, 's', RELEASE
14002, Key.backspace, PRESS
14072, Key.backspace, RELEASE
14173, Key.backspace, PRESS
14234, Key.backspace, RELEASE
14835, Key.backspace, PRESS
14881, Key.backspace, RELEASE
17058, 'p', PRESS
17111, 'p', RELEASE
17364, 's', PRESS
17433, 's', RELEASE
17525, Key.space, PRESS
17603, Key.space, RELEASE
17723, 'o', PRESS
17785, 'o', RELEASE
18152, 'v', PRESS
18198, 'v', RELEASE
18312, 'e', PRESS
18406, 'e', RELEASE
18537, 'r', PRESS
18599, 'r', RELEASE
18706, Key.space, PRESS
18768, Key.space, RELEASE
18895, 't', PRESS
18949, 't', RELEASE
18999, 'h', PRESS
19062, 'h', RELEASE
19187, 'e', PRESS
19239, 'e', RELEASE
19334, Key.space, PRESS
19387, Key.space, RELEASE
19729, 'l', PRESS
19791, 'l', RELEASE
20053, 'a', PRESS
20122, 'a', RELEASE
20382, 'z', PRESS
20452, 'z', RELEASE
20557, 'y', PRESS
20626, 'y', RELEASE
20776, Key.space, PRESS
20846, Key.space, RELEASE
22927, 'd', PRESS
22997, 'd', RELEASE
23288, 'o', PRESS
23374, 'o', RELEASE
23591, 'g', PRESS
23645, 'g', RELEASE
24629, '.', PRESS
24691, '.', RELEASE
