0, Key.caps_lock, PRESS
77, Key.caps_lock, RELEASE
250, 't', PRESS
312, 't', RELEASE
400, Key.caps_lock, PRESS
472, Key.caps_lock, RELEASE
617, 'h', PRESS
663, 'h', RELEASE
799, 'e', PRESS
853, 'e', RELEASE
939, Key.space, PRESS
1008, Key.space, RELEASE
1429, 'q', PRESS
1483, 'q', RELEASE
1538, 'u', PRESS
1592, 'u', RELEASE
1714, 'i', PRESS
1775, 'i', RELEASE
2284, 'c', PRESS
2346, 'c', RELEASE
2410, 'k', PRESS
2481, 'k', RELEASE
2620, Key.space, PRESS
2666, Key.space, RELEASE
3350, 'b', PRESS
3404, 'b', RELEASE
3651, 'r', PRESS
3705, 'r', RELEASE
4026, 'o', PRESS
4071, 'o', RELEASE
4324, 'w', PRESS
4385, 'w', RELEASE
4504, 'n', PRESS
4566, 'n', RELEASE
4688, Key.space, PRESS
4750, Key.space, RELEASE
4910, 'f', PRESS
4971, 'f', RELEASE
5192, 'o', PRESS
5253, 'o', RELEASE
5659, 'x', PRESS
5721, 'x', RELEASE
5823, Key.space, PRESS
5885, Key.space, RELEASE
6381, 'j', PRESS
6435, 'j', RELEASE
6546, 'u', PRESS
6600, 'u', RELEASE
6781, 'm', PRESS
6850, 'm', RELEASE
7092, 'p', PRESS
7147, 'p', RELEASE
7349, 's', PRESS
7418, 's', RELEASE
7461, Key.space, PRESS
7514, Key.space, RELEASE
7754, 'o', PRESS
7807, 'o', RELEASE
8175, 'v', PRESS
8229, 'v', RELEASE
8351, 'e', PRESS
8413, 'e', RELEASE
8528, 'r', PRESS
8597, 'r', RELEASE
8643, Key.space, PRESS
8705, Key.space, RELEASE
8832, 't', PRESS
8879, 't', RELEASE
8944, 'h', PRESS
9006, 'h', RELEASE
9183, 'e', PRESS
9228, 'e', RELEASE
9317, Key.space, PRESS
9363, Key.space, RELEASE
9643, 'l', PRESS
9712, 'l', RELEASE
10115, 'a', PRESS
10177, 'a', RELEASE
10481, 'z', PRESS
10527, 'z', RELEASE
10629, 'y', PRESS
10690, 'y', RELEASE
10821, Key.space, PRESS
10875, Key.space, RELEASE
11192, 'd', PRESS
11270, 'd', RELEASE
11466, 'o', PRESS
11528, 'o', RELEASE
11852, 'g', PRESS
11890, 'g', RELEASE
13122, '.', PRESS
13176, '.', RELEASE
