0, Key.caps_lock, PRESS
118, Key.caps_lock, RELEASE
245, 't', PRESS
323, 't', RELEASE
418, Key.caps_lock, PRESS
528, Key.caps_lock, RELEASE
578, 'h', PRESS
641, 'h', RELEASE
715, 'e', PRESS
810, 'e', RELEASE
909, Key.space, PRESS
1020, Key.space, RELEASE
1071, 'q', PRESS
1197, 'u', PRESS
1197, 'q', RELEASE
1237, 'u', RELEASE
1335, 'i', PRESS
1405, 'i', RELEASE
1570, 'c', PRESS
1696, 'k', PRESS
1697, 'c', RELEASE
1783, 'k', RELEASE
1898, Key.space, PRESS
1977, Key.space, RELEASE
2461, 'b', PRESS
2539, 'b', RELEASE
2704, 'r', PRESS
2775, 'r', RELEASE
2994, 'o', PRESS
3080, 'o', RELEASE
3112, 'w', PRESS
3206, 'w', RELEASE
3267, 'n', PRESS
3329, 'n', RELEASE
3537, Key.space, PRESS
3607, Key.space, RELEASE
3957, 'f', PRESS
4076, 'f', RELEASE
4166, 'o', PRESS
4245, 'o', RELEASE
4331, 'x', PRESS
4450, 'x', RELEASE
5415, Key.space, PRESS
5494, Key.space, RELEASE
5584, 'j', PRESS
5647, 'j', RELEASE
5737, 'u', PRESS
5807, 'u', RELEASE
5901, 'm', PRESS
6012, 'm', RELEASE
6065, 'p', PRESS
6151, 'p', RELEASE
6221, 's', PRESS
6331, Key.space, PRESS
6331, 's', RELEASE
6397, Key.space, RELEASE
6476, 'o', PRESS
6570, 'o', RELEASE
6593, 'v', PRESS
6696, 'v', RELEASE
6757, 'e', PRESS
6860, 'r', PRESS
6882, 'e', RELEASE
6953, 'r', RELEASE
6976, Key.space, PRESS
7076, Key.space, RELEASE
7076, 't', PRESS
7171, 't', RELEASE
7197, 'h', PRESS
7289, 'h', RELEASE
7290, 'e', PRESS
7406, Key.space, PRESS
7406, 'e', RELEASE
7463, Key.space, RELEASE
7605, 'l', PRESS
7689, 'a', PRESS
7707, 'l', RELEASE
7783, 'a', RELEASE
7880, 'z', PRESS
7960, 'y', PRESS
7997, 'z', RELEASE
8030, 'y', RELEASE
8122, Key.space, PRESS
8212, Key.space, RELEASE
8213, 'd', PRESS
8321, 'o', PRESS
8322, 'd', RELEASE
8408, 'o', RELEASE
8484, 'g', PRESS
8562, 'g', RELEASE
8838, '.', PRESS
8932, '.', RELEASE
