0, Key.shift, PRESS
265, 'T', PRESS
358, 'T', RELEASE
442, Key.shift, RELEASE
634, 'h', PRESS
697, 'h', RELEASE
816, 'e', PRESS
910, 'e', RELEASE
928, Key.space, PRESS
1015, Key.space, RELEASE
1531, 'q', PRESS
1620, 'u', PRESS
1620, 'q', RELEASE
1704, 'u', RELEASE
1733, 'i', PRESS
1820, 'i', RELEASE
1875, 'c', PRESS
1953, 'c', RELEASE
1995, 'k', PRESS
2090, 'k', RELEASE
2151, Key.space, PRESS
2262, Key.space, RELEASE
2829, 'v', PRESS
2883, 'v', RELEASE
3154, Key.backspace, PRESS
3256, Key.backspace, RELEASE
3312, 'b', PRESS
3391, 'b', RELEASE
3478, 'o', PRESS
3612, 'o', RELEASE
3970, Key.backspace, PRESS
4081, Key.backspace, RELEASE
4264, 'r', PRESS
4349, 'r', RELEASE
4470, 'o', PRESS
4532, 'o', RELEASE
5052, 'w', PRESS
5153, 'w', RELEASE
5218, 'n', PRESS
5328, 'n', RELEASE
5452, Key.space, PRESS
5546, Key.space, RELEASE
5591, 'j', PRESS
5701, 'j', RELEASE
5947, Key.backspace, PRESS
6041, Key.backspace, RELEASE
6102, 'f', PRESS
6196, 'f', RELEASE
6267, 'o', PRESS
6354, 'o', RELEASE
6521, 'x', PRESS
6614, 'x', RELEASE
6642, Key.space, PRESS
6745, Key.space, RELEASE
6820, 'j', PRESS
6889, 'j', RELEASE
6997, 'u', PRESS
7051, 'u', RELEASE
7170, 'm', PRESS
7224, 'm', RELEASE
7299, 'p', PRESS
7401, 'p', RELEASE
7735, 's', PRESS
7821, 's', RELEASE
7865, Key.space, PRESS
7961, Key.space, RELEASE
8021, 'o', PRESS
8100, 'o', RELEASE
8201, 'v', PRESS
8320, 'v', RELEASE
8418, 'e', PRESS
8513, 'e', RELEASE
8535, 'r', PRESS
8637, 'r', RELEASE
8711, Key.space, PRESS
8790, Key.space, RELEASE
8908, 't', PRESS
8971, 't', RELEASE
9129, 'h', PRESS
9208, 'h', RELEASE
9293, 'e', PRESS
9403, Key.space, PRESS
9403, 'e', RELEASE
9483, Key.space, RELEASE
9568, 'l', PRESS
9654, 'l', RELEASE
9687, 'a', PRESS
9782, 'a', RELEASE
9905, 'z', PRESS
10016, 'z', RELEASE
10045, 'y', PRESS
10145, Key.space, PRESS
10146, 'y', RELEASE
10210, Key.space, RELEASE
10276, 'd', PRESS
10363, 'd', RELEASE
10401, 'o', PRESS
10479, 'o', RELEASE
10586, 'g', PRESS
10664, 'g', RELEASE
11134, '.', PRESS
11197, '.', RELEASE
