0, Key.caps_lock, PRESS
94, Key.caps_lock, RELEASE
172, 't', PRESS
282, 't', RELEASE
353, Key.caps_lock, PRESS
465, Key.caps_lock, RELEASE
498, 'h', PRESS
569, 'h', RELEASE
613, 'e', PRESS
745, Key.space, PRESS
745, 'e', RELEASE
843, Key.space, RELEASE
924, 'a', PRESS
1066, 'a', RELEASE
1368, Key.backspace, PRESS
1425, Key.backspace, RELEASE
1451, 'q', PRESS
1561, 'q', RELEASE
1604, 'u', PRESS
1698, 'u', RELEASE
1825, 'i', PRESS
1904, 'i', RELEASE
2028, 'c', PRESS
2130, 'c', RELEASE
2153, 'k', PRESS
2247, 'k', RELEASE
2349, Key.space, PRESS
2460, Key.space, RELEASE
2967, 'b', PRESS
3047, 'b', RELEASE
3935, 'r', PRESS
4069, 'r', RELEASE
4750, 'o', PRESS
4868, 'o', RELEASE
5064, 'w', PRESS
5183, 'w', RELEASE
5220, 'n', PRESS
5315, 'n', RELEASE
5426, Key.space, PRESS
5520, Key.space, RELEASE
5645, 'f', PRESS
5779, 'f', RELEASE
6295, Key.backspace, PRESS
6366, Key.backspace, RELEASE
6660, 'f', PRESS
6753, 'f', RELEASE
6795, 'o', PRESS
6897, 'o', RELEASE
7079, 'x', PRESS
7182, 'x', RELEASE
7425, Key.space, PRESS
7504, Key.space, RELEASE
7789, 'f', PRESS
7868, 'f', RELEASE
8118, Key.backspace, PRESS
8173, Key.backspace, RELEASE
8306, 'j', PRESS
8422, 'j', RELEASE
8516, 'u', PRESS
8610, 'u', RELEASE
8706, 'm', PRESS
8832, 'm', RELEASE
8854, 'p', PRESS
8949, 'p', RELEASE
8989, 's', PRESS
9091, 's', RELEASE
9299, Key.space, PRESS
9425, Key.space, RELEASE
9542, 'o', PRESS
9652, 'o', RELEASE
9652, 'v', PRESS
9761, 'v', RELEASE
9864, 'e', PRESS
9974, 'r', PRESS
9997, 'e', RELEASE
10124, 'r', RELEASE
10708, Key.space, PRESS
10787, Key.space, RELEASE
10814, 't', PRESS
10933, 'h', PRESS
10933, 't', RELEASE
10994, 'h', RELEASE
11024, 'e', PRESS
11115, Key.space, PRESS
11141, 'e', RELEASE
11184, Key.space, RELEASE
11284, 'l', PRESS
11379, 'l', RELEASE
11522, 'a', PRESS
11641, 'a', RELEASE
11732, 'z', PRESS
11850, 'z', RELEASE
11867, 'y', PRESS
11954, 'y', RELEASE
12133, Key.space, PRESS
12211, Key.space, RELEASE
12374, 'd', PRESS
12468, 'd', RELEASE
12526, 'a', PRESS
12628, 'a', RELEASE
13141, Key.backspace, PRESS
13195, Key.backspace, RELEASE
13491, 'o', PRESS
13601, 'o', RELEASE
13675, 'g', PRESS
13777, 'g', RELEASE
14310, '.', PRESS
14437, '.', RELEASE
