0, Key.caps_lock, PRESS
127, Key.caps_lock, RELEASE
245, 't', PRESS
371, 't', RELEASE
466, Key.caps_lock, PRESS
561, Key.caps_lock, RELEASE
642, 'h', PRESS
729, 'h', RELEASE
828, 'e', PRESS
961, 'e', RELEASE
1125, Key.space, PRESS
1187, Key.space, RELEASE
1668, 'q', PRESS
1810, 'q', RELEASE
1826, 'u', PRESS
1897, 'u', RELEASE
2016, 'i', PRESS
2103, 'i', RELEASE
2434, 'c', PRESS
2561, 'c', RELEASE
2626, 'k', PRESS
2761, 'k', RELEASE
2943, Key.space, PRESS
3069, Key.space, RELEASE
3538, 'b', PRESS
3627, 'b', RELEASE
3808, 'r', PRESS
3912, 'r', RELEASE
4010, 'o', PRESS
4104, 'o', RELEASE
4142, 'w', PRESS
4253, 'w', RELEASE
4283, 'n', PRESS
4416, 'n', RELEASE
4649, Key.space, PRESS
4718, Key.space, RELEASE
4810, 'f', PRESS
4905, 'f', RELEASE
4950, 'o', PRESS
5073, 'o', RELEASE
5073, 'x', PRESS
5200, 'x', RELEASE
5237, Key.space, PRESS
5332, Key.space, RELEASE
5433, 'j', PRESS
5512, 'j', RELEASE
5612, 'u', PRESS
5715, 'u', RELEASE
5821, 'm', PRESS
5947, 'm', RELEASE
6085, 'p', PRESS
6188, 'p', RELEASE
6283, 's', PRESS
6392, 's', RELEASE
6442, Key.space, PRESS
6521, Key.space, RELEASE
6609, 'o', PRESS
6694, 'v', PRESS
6711, 'o', RELEASE
6772, 'v', RELEASE
6862, 'e', PRESS
6932, 'r', PRESS
6956, 'e', RELEASE
7067, Key.space, PRESS
7067, 'r', RELEASE
7158, Key.space, RELEASE
7158, 't', PRESS
7245, 'h', PRESS
7267, 't', RELEASE
7352, 'h', RELEASE
7353, 'e', PRESS
7449, Key.space, PRESS
7477, 'e', RELEASE
7519, Key.space, RELEASE
7656, 'l', PRESS
7749, 'l', RELEASE
7915, 'a', PRESS
8017, 'a', RELEASE
8111, 'z', PRESS
8222, 'z', RELEASE
8248, 'y', PRESS
8367, 'y', RELEASE
8478, Key.space, PRESS
8588, Key.space, RELEASE
8614, 'd', PRESS
8735, 'o', PRESS
8735, 'd', RELEASE
8835, 'o', RELEASE
8882, 'g', PRESS
9001, 'g', RELEASE
9400, '.', PRESS
9527, '.', RELEASE
