0, Key.shift, PRESS
184, 'T', PRESS
278, 'T', RELEASE
330, Key.shift, RELEASE
395, 'h', PRESS
450, 'h', RELEASE
535, 'e', PRESS
638, 'e', RELEASE
660, Key.space, PRESS
754, Key.space, RELEASE
1153, 'q', PRESS
1239, 'q', RELEASE
1261, 'u', PRESS
1355, 'u', RELEASE
1374, 'i', PRESS
1461, 'i', RELEASE
3070, 'c', PRESS
3149, 'c', RELEASE
3206, 'k', PRESS
3269, 'k', RELEASE
3559, Key.space, PRESS
3653, Key.space, RELEASE
4244, 'b', PRESS
4314, 'b', RELEASE
4469, 'r', PRESS
4572, 'r', RELEASE
4724, 'o', PRESS
4786, 'o', RELEASE
4892, 'w', PRESS
4970, 'w', RELEASE
4996, Key.space, PRESS
5089, Key.space, RELEASE
5201, 'n', PRESS
5280, 'n', RELEASE
5473, Key.backspace, PRESS
5544, Key.backspace, RELEASE
5621, Key.backspace, PRESS
5699, Key.backspace, RELEASE
5984, 'n', PRESS
6086, 'n', RELEASE
6119, Key.space, PRESS
6196, Key.space, RELEASE
6293, 'o', PRESS
6354, 'o', RELEASE
6354, 'f', PRESS
6440, 'f', RELEASE
6727, Key.backspace, PRESS
6782, Key.backspace, RELEASE
6862, Key.backspace, PRESS
6909, Key.backspace, RELEASE
6979, 'f', PRESS
7057, 'f', RELEASE
7120, 'o', PRESS
7182, 'o', RELEASE
7341, 'x', PRESS
7443, 'x', RELEASE
7588, Key.space, PRESS
7674, Key.space, RELEASE
7810, 'j', PRESS
7889, 'j', RELEASE
7983, 'u', PRESS
8038, 'u', RELEASE
8148, 'm', PRESS
8218, 'm', RELEASE
8312, 'p', PRESS
8350, 'p', RELEASE
8934, 's', PRESS
9013, 's', RELEASE
9074, Key.space, PRESS
9168, Key.space, RELEASE
9261, 'o', PRESS
9323, 'o', RELEASE
9418, 'v', PRESS
9520, 'v', RELEASE
9608, 'e', PRESS
9679, 'e', RELEASE
9693, 'r', PRESS
9804, 'r', RELEASE
9843, Key.space, PRESS
9915, Key.space, RELEASE
9984, 't', PRESS
10069, 't', RELEASE
10092, 'h', PRESS
10162, 'h', RELEASE
10232, 'e', PRESS
10318, Key.space, PRESS
10318, 'e', RELEASE
10399, Key.space, RELEASE
10486, 'l', PRESS
10565, 'l', RELEASE
10653, 'a', PRESS
10756, 'a', RELEASE
10924, 'z', PRESS
11010, 'z', RELEASE
11080, 'y', PRESS
11158, 'y', RELEASE
11175, Key.space, PRESS
11262, Key.space, RELEASE
11325, 'd', PRESS
11395, 'd', RELEASE
11444, 'o', PRESS
11523, 'o', RELEASE
11671, 'g', PRESS
11757, 'g', RELEASE
12198, '.', PRESS
12245, '.', RELEASE
