0, Key.caps_lock, PRESS
94, 't', PRESS
95, Key.caps_lock, RELEASE
212, 't', RELEASE
292, Key.caps_lock, PRESS
371, Key.caps_lock, RELEASE
706, 'h', PRESS
810, 'h', RELEASE
830, 'e', PRESS
925, 'e', RELEASE
979, Key.space, PRESS
1089, Key.space, RELEASE
1160, 'q', PRESS
1285, 'u', PRESS
1285, 'q', RELEASE
1357, 'u', RELEASE
1456, 'i', PRESS
1550, 'i', RELEASE
1592, 'c', PRESS
1696, 'k', PRESS
1719, 'c', RELEASE
1774, 'k', RELEASE
1798, Key.space, PRESS
1909, Key.space, RELEASE
2438, 'b', PRESS
2532, 'b', RELEASE
2897, 'o', PRESS
3006, 'o', RELEASE
3479, Key.backspace, PRESS
3541, Key.backspace, RELEASE
3586, 'r', PRESS
3704, 'r', RELEASE
3757, 'o', PRESS
3883, 'o', RELEASE
3952, 'w', PRESS
4062, 'w', RELEASE
4248, 'n', PRESS
4351, 'n', RELEASE
4465, Key.space, PRESS
4575, Key.space, RELEASE
4605, 'f', PRESS
4708, 'f', RELEASE
4725, 'o', PRESS
4827, 'o', RELEASE
4847, 'z', PRESS
4886, 'z', RELEASE
5198, Key.backspace, PRESS
5299, Key.backspace, RELEASE
5389, 'x', PRESS
5485, 'x', RELEASE
5757, Key.space, PRESS
5867, Key.space, RELEASE
5963, 'j', PRESS
6050, 'j', RELEASE
6158, 'u', PRESS
6269, 'u', RELEASE
6385, 'm', PRESS
6489, 'm', RELEASE
6555, 'p', PRESS
6650, 'p', RELEASE
6809, 's', PRESS
6904, 's', RELEASE
7134, Key.space, PRESS
7211, Key.space, RELEASE
7320, 'o', PRESS
7421, 'o', RELEASE
7474, 'v', PRESS
7584, 'v', RELEASE
7722, 'e', PRESS
7793, 'r', PRESS
7855, 'e', RELEASE
7943, 'r', RELEASE
8254, Key.space, PRESS
8353, Key.space, RELEASE
8353, 't', PRESS
8423, 'h', PRESS
8446, 't', RELEASE
8539, 'h', RELEASE
8539, 'e', PRESS
8620, Key.space, PRESS
8664, 'e', RELEASE
8697, Key.space, RELEASE
8808, 'l', PRESS
8911, 'l', RELEASE
9445, 'a', PRESS
9554, 'a', RELEASE
9691, 'z', PRESS
9808, 'z', RELEASE
9925, 'y', PRESS
10059, 'y', RELEASE
10265, Key.space, PRESS
10375, Key.space, RELEASE
10538, 'd', PRESS
10671, 'd', RELEASE
10699, 'o', PRESS
10818, 'o', RELEASE
10887, 'g', PRESS
10997, 'g', RELEASE
11091, '.', PRESS
11226, '.', RELEASE
