0, Key.shift, PRESS
104, 'T', PRESS
147, Key.shift, RELEASE
165, 't', RELEASE
274, 'h', PRESS
326, 'h', RELEASE
326, 'e', PRESS
444, 'e', RELEASE
712, Key.space, PRESS
765, Key.space, RELEASE
883, 'q', PRESS
962, 'u', PRESS
962, 'q', RELEASE
1024, 'u', RELEASE
1084, 'i', PRESS
1162, 'i', RELEASE
1213, 'c', PRESS
1306, 'k', PRESS
1306, 'c', RELEASE
1338, 'k', RELEASE
1437, Key.space, PRESS
1483, Key.space, RELEASE
1566, 'b', PRESS
1643, 'b', RELEASE
1644, 'r', PRESS
1730, 'r', RELEASE
1800, 'o', PRESS
1862, 'o', RELEASE
1934, 'w', PRESS
2043, 'w', RELEASE
2071, 'n', PRESS
2125, 'n', RELEASE
2194, Key.space, PRESS
2255, Key.space, RELEASE
2336, 'f', PRESS
2424, 'o', PRESS
2424, 'f', RELEASE
2469, 'o', RELEASE
2546, 'x', PRESS
2637, Key.space, PRESS
2654, 'x', RELEASE
2673, Key.space, RELEASE
2793, 'j', PRESS
2846, 'j', RELEASE
2917, 'u', PRESS
2970, 'u', RELEASE
3078, 'm', PRESS
3132, 'm', RELEASE
3221, 'p', PRESS
3295, 'p', RELEASE
3296, 's', PRESS
3397, 's', RELEASE
3420, Key.space, PRESS
3465, Key.space, RELEASE
3604, 'o', PRESS
3657, 'o', RELEASE
3684, 'v', PRESS
3785, 'v', RELEASE
3862, 'e', PRESS
3972, 'e', RELEASE
4014, 'r', PRESS
4124, 'r', RELEASE
4145, Key.space, PRESS
4183, Key.space, RELEASE
4262, 't', PRESS
4293, 'h', PRESS
4393, 'h', RELEASE
4393, 't', RELEASE
4451, 'e', PRESS
4509, Key.space, PRESS
4575, 'e', RELEASE
4593, Key.space, RELEASE
4717, 'l', PRESS
4782, 'l', RELEASE
4783, 'a', PRESS
4877, 'a', RELEASE
4951, 'z', PRESS
5060, 'y', PRESS
5061, 'z', RELEASE
5108, 'y', RELEASE
5704, Key.space, PRESS
5758, Key.space, RELEASE
5826, 'd', PRESS
5944, 'o', PRESS
5944, 'd', RELEASE
5983, 'o', RELEASE
6061, 'g', PRESS
6138, 'g', RELEASE
6206, '.', PRESS
6267, '.', RELEASE
