0, Key.shift, PRESS
136, 'T', PRESS
189, Key.shift, RELEASE
190, 't', RELEASE
290, 'h', PRESS
360, 'h', RELEASE
400, 'e', PRESS
518, 'e', RELEASE
540, Key.space, PRESS
602, Key.space, RELEASE
732, 'q', PRESS
816, 'q', RELEASE
872, 'u', PRESS
926, 'u', RELEASE
999, 'i', PRESS
1070, 'i', RELEASE
1173, 'c', PRESS
1268, 'k', PRESS
1268, 'c', RELEASE
1330, 'k', RELEASE
1433, Key.space, PRESS
1486, Key.space, RELEASE
1591, 'b', PRESS
1652, 'b', RELEASE
1726, 'r', PRESS
1811, 'r', RELEASE
1834, 'o', PRESS
1888, 'o', RELEASE
2030, 'w', PRESS
2108, 'w', RELEASE
2287, 'n', PRESS
2372, 'n', RELEASE
2476, Key.space, PRESS
2552, Key.space, RELEASE
3326, 'f', PRESS
3371, 'f', RELEASE
3390, 'o', PRESS
3452, 'o', RELEASE
3551, 'x', PRESS
3656, Key.space, PRESS
3656, 'x', RELEASE
3710, Key.space, RELEASE
3815, 'j', PRESS
3876, 'j', RELEASE
3947, 'u', PRESS
4001, 'u', RELEASE
4108, 'm', PRESS
4186, 'm', RELEASE
4279, 'p', PRESS
4349, 'p', RELEASE
4671, Key.space, PRESS
4740, Key.space, RELEASE
4958, 'o', PRESS
5011, 'o', RELEASE
5501, 'v', PRESS
5594, 'v', RELEASE
5653, 'e', PRESS
5785, 'r', PRESS
5785, 'e', RELEASE
5879, 'r', RELEASE
5984, Key.space, PRESS
6038, Key.space, RELEASE
6094, 't', PRESS
6148, 't', RELEASE
6183, 'h', PRESS
6253, 'h', RELEASE
6310, 'e', PRESS
6375, Key.space, PRESS
6418, 'e', RELEASE
6444, Key.space, RELEASE
6579, 'l', PRESS
6655, 'l', RELEASE
6656, 'a', PRESS
6747, 'a', RELEASE
6816, 'z', PRESS
6912, 'y', PRESS
6932, 'z', RELEASE
6965, 'y', RELEASE
7083, Key.space, PRESS
7145, Key.space, RELEASE
7206, 'd', PRESS
7324, 'o', PRESS
7324, 'd', RELEASE
7363, 'o', RELEASE
7465, 'g', PRESS
7566, 'g', RELEASE
7973, '.', PRESS
8019, '.', RELEASE
