0, Key.shift, PRESS
136, 'T', PRESS
210, Key.shift, RELEASE
212, 't', RELEASE
317, 'h', PRESS
386, 'h', RELEASE
457, 'e', PRESS
558, 'e', RELEASE
582, Key.space, PRESS
636, Key.space, RELEASE
707, 'q', PRESS
817, 'q', RELEASE
855, 'u', PRESS
909, 'u', RELEASE
983, 'i', PRESS
1045, 'i', RELEASE
1133, 'c', PRESS
1227, 'k', PRESS
1227, 'c', RELEASE
1257, 'k', RELEASE
1358, Key.space, PRESS
1404, Key.space, RELEASE
1547, 'b', PRESS
1601, 'b', RELEASE
1656, 'r', PRESS
1742, 'r', RELEASE
1773, 'o', PRESS
1828, 'o', RELEASE
1884, 'w', PRESS
1970, 'w', RELEASE
2013, 'n', PRESS
2059, 'n', RELEASE
2154, Key.space, PRESS
2200, Key.space, RELEASE
2327, 'f', PRESS
2380, 'f', RELEASE
2408, 'o', PRESS
2462, 'o', RELEASE
2553, 'x', PRESS
2654, 'x', RELEASE
2677, Key.space, PRESS
2706, Key.space, RELEASE
2838, 'j', PRESS
2892, 'j', RELEASE
2954, 'u', PRESS
3008, 'u', RELEASE
3143, 'm', PRESS
3188, 'm', RELEASE
3298, 'p', PRESS
3353, 'p', RELEASE
3382, 's', PRESS
3468, 's', RELEASE
3505, Key.space, PRESS
3551, Key.space, RELEASE
3677, 'o', PRESS
3739, 'o', RELEASE
3774, 'v', PRESS
3882, 'v', RELEASE
3955, 'e', PRESS
4072, 'e', RELEASE
4130, 'r', PRESS
4242, Key.space, PRESS
4242, 'r', RELEASE
4281, Key.space, RELEASE
4408, 'h', PRESS
4408, 't', PRESS
4486, 'h', RELEASE
4524, 't', RELEASE
4592, 'e', PRESS
4650, Key.space, PRESS
4742, Key.space, RELEASE
4743, 'e', RELEASE
4915, 'l', PRESS
4977, 'l', RELEASE
5037, 'a', PRESS
5139, 'a', RELEASE
5269, 'z', PRESS
5347, 'z', RELEASE
5498, 'y', PRESS
5560, 'y', RELEASE
5672, Key.space, PRESS
5741, Key.space, RELEASE
5801, 'd', PRESS
5913, 'o', PRESS
5914, 'd', RELEASE
5967, 'o', RELEASE
6038, 'g', PRESS
6140, 'g', RELEASE
6260, '.', PRESS
6313, '.', RELEASE
