0, Key.shift, PRESS
128, 'T', PRESS
202, Key.shift, RELEASE
204, 't', RELEASE
272, 'h', PRESS
372, 'h', RELEASE
373, 'e', PRESS
485, Key.space, PRESS
486, 'e', RELEASE
555, Key.space, RELEASE
756, 'q', PRESS
850, 'q', RELEASE
868, 'u', PRESS
930, 'u', RELEASE
1000, 'i', PRESS
1085, 'i', RELEASE
1381, 'c', PRESS
1475, 'k', PRESS
1475, 'c', RELEASE
1513, 'k', RELEASE
1619, Key.space, PRESS
1658, Key.space, RELEASE
1774, 'b', PRESS
1820, 'b', RELEASE
1872, 'r', PRESS
1965, 'r', RELEASE
2008, 'o', PRESS
2068, 'o', RELEASE
2103, 'w', PRESS
2204, 'w', RELEASE
2265, 'n', PRESS
2319, 'n', RELEASE
2401, Key.space, PRESS
2446, Key.space, RELEASE
2567, 'f', PRESS
2629, 'f', RELEASE
2658, 'o', PRESS
2712, 'o', RELEASE
2780, 'x', PRESS
2913, Key.space, PRESS
2913, 'x', RELEASE
2938, Key.space, RELEASE
3103, 'j', PRESS
3156, 'j', RELEASE
3224, 'u', PRESS
3285, 'u', RELEASE
3417, 'm', PRESS
3463, 'm', RELEASE
3569, 'p', PRESS
3639, 'p', RELEASE
3688, 's', PRESS
3774, 's', RELEASE
3810, Key.space, PRESS
3848, Key.space, RELEASE
4013, 'o', PRESS
4067, 'o', RELEASE
4132, 'v', PRESS
4226, 'v', RELEASE
4317, 'e', PRESS
4411, 'e', RELEASE
4560, 'r', PRESS
4561, 'e', PRESS
4653, 'r', RELEASE
4654, 'e', RELEASE
4965, Key.space, PRESS
5027, Key.space, RELEASE
5155, 't', PRESS
5194, 'h', PRESS
5271, 't', RELEASE
5311, 'h', RELEASE
5359, 'e', PRESS
5477, 'e', RELEASE
5741, 'a', PRESS
5850, 'd', PRESS
5850, 'a', RELEASE
5951, 's', PRESS
5951, 'a', PRESS
6028, 's', RELEASE
6028, 'a', RELEASE
6075, 'd', RELEASE
6111, Key.backspace, PRESS
6180, Key.backspace, RELEASE
6247, Key.backspace, PRESS
6308, Key.backspace, RELEASE
