0, Key.shift, PRESS
113, 'T', PRESS
155, Key.shift, RELEASE
173, 't', RELEASE
278, 'h', PRESS
355, 'h', RELEASE
396, 'e', PRESS
506, Key.space, PRESS
506, 'e', RELEASE
553, Key.space, RELEASE
705, 'q', PRESS
799, 'q', RELEASE
839, 'u', PRESS
901, 'u', RELEASE
991, 'i', PRESS
1037, 'i', RELEASE
1189, 'c', PRESS
1267, 'c', RELEASE
1328, 'k', PRESS
1390, 'k', RELEASE
1528, Key.space, PRESS
1605, Key.space, RELEASE
1735, 'b', PRESS
1789, 'b', RELEASE
1854, 'r', PRESS
1948, 'r', RELEASE
2007, 'o', PRESS
2034, 'w', PRESS
2067, 'o', RELEASE
2119, 'w', RELEASE
2288, 'n', PRESS
2358, 'n', RELEASE
2491, Key.space, PRESS
2537, Key.space, RELEASE
2989, 'f', PRESS
3051, 'f', RELEASE
3080, 'o', PRESS
3142, 'o', RELEASE
3254, 'x', PRESS
3350, Key.space, PRESS
3351, 'x', RELEASE
3388, Key.space, RELEASE
3514, 'j', PRESS
3576, 'j', RELEASE
3646, 'u', PRESS
3685, 'u', RELEASE
3819, 'm', PRESS
3873, 'm', RELEASE
3969, 'p', PRESS
4031, 'p', RELEASE
4084, 's', PRESS
4178, 's', RELEASE
4196, Key.space, PRESS
4242, Key.space, RELEASE
4366, 'o', PRESS
4428, 'o', RELEASE
4742, 'v', PRESS
4812, 'v', RELEASE
5411, 'r', PRESS
5495, 'r', RELEASE
5528, Key.space, PRESS
5574, Key.space, RELEASE
5678, 't', PRESS
5693, 'h', PRESS
5756, 't', RELEASE
5771, 'h', RELEASE
5857, 'e', PRESS
5953, Key.space, PRESS
5979, 'e', RELEASE
6029, Key.space, RELEASE
6158, 'l', PRESS
6201, 'a', PRESS
6234, 'l', RELEASE
6326, 'a', RELEASE
6384, 'z', PRESS
6486, 'y', PRESS
6486, 'z', RELEASE
6533, 'y', RELEASE
6647, Key.space, PRESS
6707, Key.space, RELEASE
6795, 'd', PRESS
6923, 'o', PRESS
6923, 'd', RELEASE
6968, 'o', RELEASE
7075, 'g', PRESS
7162, 'g', RELEASE
7226, "'", PRESS
7256, "'", RELEASE
8084, Key.backspace, PRESS
8153, Key.backspace, RELEASE
8699, 's', PRESS
8817, 'd', PRESS
8817, 's', RELEASE
8878, 'a', PRESS
8909, 's', PRESS
8947, 's', RELEASE
8970, 'a', RELEASE
9026, 'd', RELEASE
9049, Key.backspace, PRESS
9103, Key.backspace, RELEASE
9193, Key.backspace, PRESS
9239, Key.backspace, RELEASE
