0, Key.shift, PRESS
184, 'T', PRESS
229, 'T', RELEASE
250, Key.shift, RELEASE
374, 'h', PRESS
442, 'h', RELEASE
524, 'e', PRESS
610, 'e', RELEASE
663, Key.space, PRESS
732, Key.space, RELEASE
768, 'q', PRESS
863, 'q', RELEASE
912, 'u', PRESS
981, 'u', RELEASE
1053, 'i', PRESS
1131, 'i', RELEASE
1260, 'c', PRESS
1322, 'c', RELEASE
1347, 'k', PRESS
1408, 'k', RELEASE
1513, Key.space, PRESS
1583, Key.space, RELEASE
1755, 'b', PRESS
1817, 'b', RELEASE
1956, 'r', PRESS
2016, 'r', RELEASE
2045, 'o', PRESS
2129, 'o', RELEASE
2181, 'w', PRESS
2273, 'w', RELEASE
2314, 'n', PRESS
2367, 'n', RELEASE
2442, Key.space, PRESS
2520, Key.space, RELEASE
2785, 'f', PRESS
2855, 'f', RELEASE
2872, 'o', PRESS
2925, 'o', RELEASE
3012, 'x', PRESS
3126, Key.space, PRESS
3126, 'x', RELEASE
3172, Key.space, RELEASE
3332, 'j', PRESS
3368, 'j', RELEASE
3444, 'u', PRESS
3506, 'u', RELEASE
3647, 'm', PRESS
3716, 'm', RELEASE
3859, 'p', PRESS
3929, 'p', RELEASE
3994, 's', PRESS
4079, 's', RELEASE
4123, Key.space, PRESS
4192, Key.space, RELEASE
4413, 'o', PRESS
4467, 'o', RELEASE
4550, 'v', PRESS
4628, 'v', RELEASE
4719, 'e', PRESS
4806, 'r', PRESS
4828, 'e', RELEASE
4940, 'r', RELEASE
4983, Key.space, PRESS
5053, Key.space, RELEASE
5095, 't', PRESS
5197, 'h', PRESS
5197, 't', RELEASE
5259, 'h', RELEASE
5281, 'e', PRESS
5407, Key.space, PRESS
5407, 'e', RELEASE
5464, Key.space, RELEASE
5611, 'l', PRESS
5662, 'a', PRESS
5687, 'l', RELEASE
5731, 'a', RELEASE
5961, 'z', PRESS
6086, 'y', PRESS
6087, 'z', RELEASE
6118, 'y', RELEASE
6290, Key.space, PRESS
6352, Key.space, RELEASE
6641, 'o', PRESS
6693, 'o', RELEASE
6916, 'g', PRESS
6994, 'g', RELEASE
7050, '.', PRESS
7120, '.', RELEASE
