0, Key.shift, PRESS
128, 'T', PRESS
205, Key.shift, RELEASE
206, 't', RELEASE
548, 'h', PRESS
609, 'h', RELEASE
667, 'e', PRESS
769, 'e', RELEASE
952, 'q', PRESS
1037, 'q', RELEASE
1128, Key.space, PRESS
1180, Key.space, RELEASE
1554, Key.backspace, PRESS
1632, Key.backspace, RELEASE
1716, Key.backspace, PRESS
1778, Key.backspace, RELEASE
1868, Key.backspace, PRESS
1930, Key.backspace, RELEASE
2109, 'q', PRESS
2195, 'e', PRESS
2196, 'w', PRESS
2232, 'q', RELEASE
2248, 'w', RELEASE
2287, 'e', RELEASE
2378, Key.backspace, PRESS
2432, Key.backspace, RELEASE
2674, Key.backspace, PRESS
2712, Key.backspace, RELEASE
2808, Key.backspace, PRESS
2869, Key.backspace, RELEASE
2951, Key.backspace, PRESS
3005, Key.backspace, RELEASE
