0, Key.shift, PRESS
208, 'T', PRESS
254, 'T', RELEASE
299, Key.shift, RELEASE
415, 'h', PRESS
477, 'h', RELEASE
563, 'e', PRESS
648, 'e', RELEASE
669, Key.space, PRESS
731, Key.space, RELEASE
801, 'q', PRESS
903, 'q', RELEASE
923, 'u', PRESS
977, 'u', RELEASE
1057, 'i', PRESS
1119, 'i', RELEASE
1185, 'c', PRESS
1272, 'c', RELEASE
1294, 'k', PRESS
1357, 'k', RELEASE
1456, Key.space, PRESS
1518, Key.space, RELEASE
1619, 'b', PRESS
1673, 'b', RELEASE
1762, 'r', PRESS
1832, 'r', RELEASE
1883, 'o', PRESS
1952, 'o', RELEASE
2027, 'w', PRESS
2121, 'w', RELEASE
2197, 'n', PRESS
2266, 'n', RELEASE
2358, Key.space, PRESS
2420, Key.space, RELEASE
2572, 'f', PRESS
2627, 'f', RELEASE
2652, 'o', PRESS
2722, 'o', RELEASE
2812, 'x', PRESS
2907, 'x', RELEASE
2925, Key.space, PRESS
2987, Key.space, RELEASE
3132, 'j', PRESS
3194, 'j', RELEASE
3253, 'u', PRESS
3307, 'u', RELEASE
3425, 'm', PRESS
3486, 'm', RELEASE
3629, 'p', PRESS
3691, 'p', RELEASE
3767, 's', PRESS
3873, Key.space, PRESS
3873, 's', RELEASE
3941, Key.space, RELEASE
4104, 'o', PRESS
4178, 'o', RELEASE
4179, 'v', PRESS
4272, 'v', RELEASE
4364, 'e', PRESS
4520, 'e', RELEASE
4537, 'r', PRESS
4655, 'r', RELEASE
4673, Key.space, PRESS
4735, Key.space, RELEASE
4826, 't', PRESS
4919, 'h', PRESS
4920, 't', RELEASE
4974, 'h', RELEASE
5036, 'e', PRESS
5126, Key.space, PRESS
5152, 'e', RELEASE
5195, Key.space, RELEASE
5345, 'l', PRESS
5396, 'a', PRESS
5414, 'l', RELEASE
5505, 'a', RELEASE
5599, 'z', PRESS
5709, 'y', PRESS
5710, 'z', RELEASE
5756, 'y', RELEASE
6143, Key.space, PRESS
6205, Key.space, RELEASE
6329, 'f', PRESS
6377, 'f', RELEASE
7096, Key.backspace, PRESS
7121, 's', PRESS
7171, Key.backspace, RELEASE
7297, Key.backspace, PRESS
7298, 's', RELEASE
7359, Key.backspace, RELEASE
7360, 'd', PRESS
7443, 'd', RELEASE
7460, Key.backspace, PRESS
7530, Key.backspace, RELEASE
7608, Key.backspace, PRESS
7669, Key.backspace, RELEASE
7736, Key.backspace, PRESS
7822, Key.backspace, RELEASE
