0, Key.shift, PRESS
161, 'T', PRESS
188, Key.shift, RELEASE
221, 't', RELEASE
344, 'h', PRESS
421, 'h', RELEASE
468, 'e', PRESS
582, Key.space, PRESS
583, 'e', RELEASE
651, Key.space, RELEASE
692, 'q', PRESS
779, 'q', RELEASE
811, 'u', PRESS
865, 'u', RELEASE
944, 'i', PRESS
1006, 'i', RELEASE
1067, 'c', PRESS
1153, 'c', RELEASE
1170, 'k', PRESS
1225, 'k', RELEASE
1308, Key.space, PRESS
1362, Key.space, RELEASE
1468, 'b', PRESS
1521, 'b', RELEASE
1586, 'r', PRESS
1679, 'r', RELEASE
1723, 'o', PRESS
1785, 'o', RELEASE
1843, 'w', PRESS
1937, 'w', RELEASE
1992, 'n', PRESS
2053, 'n', RELEASE
2141, Key.space, PRESS
2187, Key.space, RELEASE
2293, 'f', PRESS
2346, 'f', RELEASE
2364, 'o', PRESS
2426, 'o', RELEASE
2611, 'x', PRESS
2712, 'x', RELEASE
2744, Key.space, PRESS
2782, Key.space, RELEASE
3425, 'j', PRESS
3487, 'j', RELEASE
3560, 'u', PRESS
3606, 'u', RELEASE
3731, 'm', PRESS
3792, 'm', RELEASE
3875, 'p', PRESS
3945, 'p', RELEASE
3987, 's', PRESS
4108, Key.space, PRESS
4108, 's', RELEASE
4153, Key.space, RELEASE
4307, 'o', PRESS
4353, 'o', RELEASE
4416, 'v', PRESS
4509, 'v', RELEASE
4610, 'e', PRESS
4711, 'e', RELEASE
4750, 'r', PRESS
4871, Key.space, PRESS
4871, 'r', RELEASE
4925, Key.space, RELEASE
4988, 't', PRESS
5043, 'h', PRESS
5096, 't', RELEASE
5120, 'h', RELEASE
5171, 'e', PRESS
5252, Key.space, PRESS
5303, 'e', RELEASE
5336, Key.space, RELEASE
5457, 'l', PRESS
5523, 'l', RELEASE
5524, 'a', PRESS
5617, 'a', RELEASE
5735, 'z', PRESS
5822, 'y', PRESS
5823, 'z', RELEASE
5867, 'y', RELEASE
5985, Key.space, PRESS
6055, Key.space, RELEASE
6599, 'd', PRESS
6679, 'o', PRESS
6707, 'd', RELEASE
6740, 'o', RELEASE
6872, 'g', PRESS
6943, 'g', RELEASE
7166, '.', PRESS
7220, '.', RELEASE
