0, Key.shift, PRESS
137, 'T', PRESS
198, 'T', RELEASE
219, Key.shift, RELEASE
342, 'h', PRESS
405, 'h', RELEASE
442, 'e', PRESS
536, 'e', RELEASE
555, Key.space, PRESS
609, Key.space, RELEASE
644, 'q', PRESS
739, 'q', RELEASE
778, 'u', PRESS
840, 'u', RELEASE
909, 'i', PRESS
987, 'i', RELEASE
1053, 'c', PRESS
1139, 'c', RELEASE
1159, 'k', PRESS
1213, 'k', RELEASE
1310, Key.space, PRESS
1372, Key.space, RELEASE
1509, 'b', PRESS
1563, 'b', RELEASE
1606, 'r', PRESS
1685, 'r', RELEASE
1722, 'o', PRESS
1777, 'o', RELEASE
1798, 'w', PRESS
1892, 'w', RELEASE
1976, 'n', PRESS
2045, 'n', RELEASE
2129, Key.space, PRESS
2198, Key.space, RELEASE
2521, 'f', PRESS
2607, 'o', PRESS
2608, 'f', RELEASE
2654, 'o', RELEASE
2782, 'x', PRESS
2866, 'x', RELEASE
2901, Key.space, PRESS
2939, Key.space, RELEASE
3304, 'j', PRESS
3389, 'j', RELEASE
3459, 'u', PRESS
3513, 'u', RELEASE
3640, 'm', PRESS
3702, 'm', RELEASE
3806, 'p', PRESS
3868, 'p', RELEASE
3925, 's', PRESS
3994, 's', RELEASE
4014, Key.space, PRESS
4060, Key.space, RELEASE
4187, 'o', PRESS
4248, 'o', RELEASE
4294, 'v', PRESS
4373, 'v', RELEASE
4450, 'e', PRESS
4551, 'e', RELEASE
4648, 'r', PRESS
4741, 'r', RELEASE
4916, Key.space, PRESS
4969, Key.space, RELEASE
5021, 't', PRESS
5098, 't', RELEASE
5116, 'h', PRESS
5185, 'h', RELEASE
5217, 'e', PRESS
5326, Key.space, PRESS
5326, 'e', RELEASE
5375, Key.space, RELEASE
5519, 'l', PRESS
5577, 'l', RELEASE
5578, 'a', PRESS
5678, 'a', RELEASE
5845, 'z', PRESS
5929, 'z', RELEASE
6063, 'y', PRESS
6117, 'y', RELEASE
6324, Key.space, PRESS
6386, Key.space, RELEASE
6456, 'd', PRESS
6534, 'd', RELEASE
6551, 'o', PRESS
6605, 'o', RELEASE
6745, 'g', PRESS
6815, 'g', RELEASE
7056, '.', PRESS
7101, '.', RELEASE
