0, Key.shift, PRESS
128, 'T', PRESS
155, Key.shift, RELEASE
181, 't', RELEASE
296, 'h', PRESS
374, 'h', RELEASE
421, 'e', PRESS
542, Key.space, PRESS
542, 'e', RELEASE
612, Key.space, RELEASE
645, 'q', PRESS
731, 'q', RELEASE
778, 'u', PRESS
793, 'i', PRESS
831, 'i', RELEASE
831, 'u', RELEASE
914, 'i', PRESS
983, 'i', RELEASE
1500, 'c', PRESS
1586, 'k', PRESS
1586, 'c', RELEASE
1631, 'k', RELEASE
1731, Key.space, PRESS
1786, Key.space, RELEASE
1886, 'b', PRESS
1948, 'b', RELEASE
1999, 'r', PRESS
2108, 'r', RELEASE
2133, 'o', PRESS
2195, 'o', RELEASE
2216, 'w', PRESS
2309, 'w', RELEASE
2356, 'n', PRESS
2409, 'n', RELEASE
2478, Key.space, PRESS
2556, Key.space, RELEASE
2642, 'f', PRESS
2721, 'o', PRESS
2742, 'f', RELEASE
2782, 'o', RELEASE
2894, 'x', PRESS
2975, Key.space, PRESS
2993, 'x', RELEASE
3027, Key.space, RELEASE
3138, 'j', PRESS
3207, 'j', RELEASE
3269, 'u', PRESS
3323, 'u', RELEASE
3453, 'm', PRESS
3507, 'm', RELEASE
3600, 'p', PRESS
3661, 'p', RELEASE
3703, 's', PRESS
3789, 's', RELEASE
3817, Key.space, PRESS
3870, Key.space, RELEASE
3985, 'o', PRESS
4039, 'o', RELEASE
4076, 'v', PRESS
4178, 'v', RELEASE
4255, 'e', PRESS
4357, 'e', RELEASE
4392, 'r', PRESS
4480, Key.space, PRESS
4499, 'r', RELEASE
4549, Key.space, RELEASE
4623, 't', PRESS
4662, 'h', PRESS
4724, 't', RELEASE
4747, 'h', RELEASE
4783, 'e', PRESS
4865, Key.space, PRESS
4924, 'e', RELEASE
4941, Key.space, RELEASE
5051, 'l', PRESS
5093, 'a', PRESS
5151, 'l', RELEASE
5219, 'a', RELEASE
5300, 'z', PRESS
5395, 'y', PRESS
5396, 'z', RELEASE
5441, 'y', RELEASE
5542, Key.space, PRESS
5612, Key.space, RELEASE
6051, 'd', PRESS
6123, 'o', PRESS
6151, 'd', RELEASE
6184, 'o', RELEASE
6282, 'g', PRESS
6360, 'g', RELEASE
6519, '.', PRESS
6565, '.', RELEASE
