0, Key.shift, PRESS
162, 'T', PRESS
246, Key.shift, RELEASE
247, 't', RELEASE
434, 'h', PRESS
496, 'h', RELEASE
1615, 'e', PRESS
1707, 'e', RELEASE
1974, Key.space, PRESS
2075, Key.space, RELEASE
2138, 'q', PRESS
2233, 'u', PRESS
2234, 'q', RELEASE
2311, 'u', RELEASE
2422, 'i', PRESS
2492, 'i', RELEASE
2656, 'c', PRESS
2734, 'c', RELEASE
2864, 'k', PRESS
2949, 'k', RELEASE
3037, Key.space, PRESS
3138, Key.space, RELEASE
3324, 'b', PRESS
3395, 'b', RELEASE
3633, 'r', PRESS
3719, 'r', RELEASE
3749, 'o', PRESS
3827, 'o', RELEASE
4006, 'n', PRESS
4051, 'n', RELEASE
4299, Key.backspace, PRESS
4393, Key.backspace, RELEASE
4788, 'w', PRESS
4866, 'w', RELEASE
4931, 'n', PRESS
5008, 'n', RELEASE
5196, Key.space, PRESS
5281, Key.space, RELEASE
5510, 'f', PRESS
5587, 'f', RELEASE
5610, 'o', PRESS
5688, 'o', RELEASE
5876, 'x', PRESS
5963, Key.space, PRESS
5964, 'x', RELEASE
6041, Key.space, RELEASE
6359, 'j', PRESS
6428, 'j', RELEASE
6501, 'u', PRESS
6562, 'u', RELEASE
6706, 'm', PRESS
6767, 'm', RELEASE
6932, 'p', PRESS
7002, 'p', RELEASE
7188, 's', PRESS
7258, 's', RELEASE
7293, Key.space, PRESS
7379, Key.space, RELEASE
7583, 'o', PRESS
7659, 'o', RELEASE
7909, 'v', PRESS
7979, 'v', RELEASE
8012, 'e', PRESS
8089, 'e', RELEASE
8165, 'r', PRESS
8236, Key.space, PRESS
8237, 'r', RELEASE
8298, Key.space, RELEASE
8453, 't', PRESS
8547, 'h', PRESS
8547, 't', RELEASE
8632, 'h', RELEASE
8875, 'e', PRESS
8962, Key.space, PRESS
8963, 'e', RELEASE
9023, Key.space, RELEASE
9315, 'l', PRESS
9393, 'l', RELEASE
9618, 'a', PRESS
9694, 'a', RELEASE
9835, 'z', PRESS
9920, 'z', RELEASE
10104, 'y', PRESS
10166, 'y', RELEASE
10250, Key.space, PRESS
10320, Key.space, RELEASE
10554, 'd', PRESS
10658, 'o', PRESS
10658, 'd', RELEASE
10767, 'o', RELEASE
10879, 'g', PRESS
10949, 'g', RELEASE
11829, '.', PRESS
11882, '.', RELEASE
