0, Key.shift, PRESS
72, 'T', PRESS
164, Key.shift, RELEASE
165, 'h', PRESS
165, 't', RELEASE
234, 'h', RELEASE
333, 'e', PRESS
419, Key.space, PRESS
419, 'e', RELEASE
477, Key.space, RELEASE
729, 'q', PRESS
838, 'q', RELEASE
895, 'u', PRESS
988, 'u', RELEASE
1127, 'i', PRESS
1220, 'i', RELEASE
1320, 'c', PRESS
1381, 'c', RELEASE
1489, 'k', PRESS
1605, Key.space, PRESS
1605, 'k', RELEASE
1669, Key.space, RELEASE
2076, 'b', PRESS
2169, 'b', RELEASE
2313, 'r', PRESS
2383, 'r', RELEASE
2466, 'o', PRESS
2544, 'o', RELEASE
2627, 'w', PRESS
2698, 'w', RELEASE
2728, 'n', PRESS
2792, Key.space, PRESS
2820, 'n', RELEASE
2894, Key.space, RELEASE
3544, 'f', PRESS
3629, 'o', PRESS
3630, 'f', RELEASE
3693, 'o', RELEASE
3784, 'x', PRESS
3876, Key.space, PRESS
3876, 'x', RELEASE
3949, Key.space, RELEASE
4157, 'j', PRESS
4244, 'j', RELEASE
4331, 'u', PRESS
4384, 'u', RELEASE
4505, 'm', PRESS
4574, 'm', RELEASE
4705, 'p', PRESS
4774, 'p', RELEASE
4796, 's', PRESS
4864, 's', RELEASE
4914, Key.space, PRESS
4992, Key.space, RELEASE
5034, 'o', PRESS
5112, 'o', RELEASE
5294, 'v', PRESS
5372, 'v', RELEASE
5499, 'e', PRESS
5567, 'e', RELEASE
5645, 'r', PRESS
5749, Key.space, PRESS
5749, 'r', RELEASE
5819, Key.space, RELEASE
5890, 't', PRESS
5959, 'h', PRESS
5960, 't', RELEASE
6030, 'h', RELEASE
6069, 'e', PRESS
6157, Key.space, PRESS
6158, 'e', RELEASE
6211, Key.space, RELEASE
6389, 'l', PRESS
6506, 'l', RELEASE
6609, 'l', PRESS
6638, 'l', RELEASE
7044, Key.backspace, PRESS
7130, Key.backspace, RELEASE
7254, 'a', PRESS
7332, 'a', RELEASE
7496, 'z', PRESS
7565, 'z', RELEASE
7819, 'y', PRESS
7903, 'y', RELEASE
7941, Key.space, PRESS
8003, Key.space, RELEASE
8191, 'd', PRESS
8255, 'o', PRESS
8292, 'd', RELEASE
8348, 'o', RELEASE
8505, 'g', PRESS
8567, 'g', RELEASE
8837, '.', PRESS
8898, '.', RELEASE
