0, Key.shift, PRESS
74, 'T', PRESS
140, Key.shift, RELEASE
165, 't', RELEASE
190, 'h', PRESS
276, 'h', RELEASE
334, 'e', PRESS
412, 'e', RELEASE
446, Key.space, PRESS
500, Key.space, RELEASE
647, 'q', PRESS
748, 'q', RELEASE
838, 'u', PRESS
948, 'u', RELEASE
1054, 'i', PRESS
1132, 'i', RELEASE
1310, 'c', PRESS
1371, 'c', RELEASE
1427, 'k', PRESS
1524, Key.space, PRESS
1544, 'k', RELEASE
1609, Key.space, RELEASE
1875, 'b', PRESS
1945, 'b', RELEASE
2007, 'r', PRESS
2085, 'r', RELEASE
2112, 'o', PRESS
2198, 'o', RELEASE
2264, 'w', PRESS
2318, 'w', RELEASE
2384, 'n', PRESS
2472, Key.space, PRESS
2492, 'n', RELEASE
2572, Key.space, RELEASE
3254, 'f', PRESS
3347, 'o', PRESS
3348, 'f', RELEASE
3435, 'o', RELEASE
3520, 'x', PRESS
3601, Key.space, PRESS
3601, 'x', RELEASE
3679, Key.space, RELEASE
3799, 'j', PRESS
3869, 'j', RELEASE
3944, 'u', PRESS
3998, 'u', RELEASE
4122, 'm', PRESS
4192, 'm', RELEASE
4317, 'p', PRESS
4393, 'p', RELEASE
4394, 's', PRESS
4460, 's', RELEASE
4518, Key.space, PRESS
4596, Key.space, RELEASE
4629, 'o', PRESS
4715, 'o', RELEASE
4804, 'v', PRESS
4873, 'v', RELEASE
5003, 'e', PRESS
5064, 'e', RELEASE
5133, 'r', PRESS
5235, Key.space, PRESS
5235, 'r', RELEASE
5291, Key.space, RELEASE
5385, 't', PRESS
5438, 'h', PRESS
5438, 't', RELEASE
5516, 'h', RELEASE
5562, 'e', PRESS
5632, 'e', RELEASE
5666, Key.space, PRESS
5720, Key.space, RELEASE
6026, 'l', PRESS
6118, 'l', RELEASE
6138, 'a', PRESS
6217, 'a', RELEASE
6359, 'z', PRESS
6428, 'z', RELEASE
6505, 'y', PRESS
6590, 'y', RELEASE
6616, Key.space, PRESS
6678, Key.space, RELEASE
6892, 'd', PRESS
6973, 'o', PRESS
7000, 'd', RELEASE
7089, 'o', RELEASE
7193, 'g', PRESS
7262, 'g', RELEASE
8140, '.', PRESS
8225, '.', RELEASE
