0, Key.shift, PRESS
50, 'T', PRESS
109, Key.shift, RELEASE
142, 'h', PRESS
142, 't', RELEASE
212, 'h', RELEASE
294, 'e', PRESS
387, 'e', RELEASE
432, Key.space, PRESS
494, Key.space, RELEASE
807, 'q', PRESS
900, 'u', PRESS
900, 'q', RELEASE
979, 'u', RELEASE
1071, 'i', PRESS
1133, 'i', RELEASE
1188, 'c', PRESS
1273, 'c', RELEASE
1325, 'k', PRESS
1427, 'k', RELEASE
1443, Key.space, PRESS
1521, Key.space, RELEASE
1792, 'b', PRESS
1877, 'b', RELEASE
2070, 'r', PRESS
2139, 'r', RELEASE
2165, 'o', PRESS
2243, 'o', RELEASE
2344, 'w', PRESS
2431, 'n', PRESS
2432, 'w', RELEASE
2495, Key.space, PRESS
2540, 'n', RELEASE
2597, Key.space, RELEASE
3249, 'f', PRESS
3326, 'o', PRESS
3327, 'f', RELEASE
3398, 'o', RELEASE
3471, 'x', PRESS
3559, Key.space, PRESS
3560, 'x', RELEASE
3636, Key.space, RELEASE
3818, 'j', PRESS
3896, 'j', RELEASE
3975, 'u', PRESS
4029, 'u', RELEASE
4163, 'm', PRESS
4225, 'm', RELEASE
4450, 'p', PRESS
4544, 'p', RELEASE
4655, 's', PRESS
4740, 's', RELEASE
4759, Key.space, PRESS
4813, Key.space, RELEASE
5110, 'o', PRESS
5210, 'o', RELEASE
5211, 'v', PRESS
5273, 'v', RELEASE
5404, 'e', PRESS
5490, 'e', RELEASE
5572, 'r', PRESS
5674, 'r', RELEASE
5805, Key.space, PRESS
5890, Key.space, RELEASE
6006, 't', PRESS
6074, 't', RELEASE
6108, 'h', PRESS
6201, 'h', RELEASE
6238, 'e', PRESS
6326, Key.space, PRESS
6326, 'e', RELEASE
6380, Key.space, RELEASE
6574, 'l', PRESS
6668, 'l', RELEASE
6712, 'a', PRESS
6797, 'a', RELEASE
6917, 'z', PRESS
6995, 'z', RELEASE
7556, 'y', PRESS
7625, 'y', RELEASE
7680, Key.space, PRESS
7778, Key.space, RELEASE
7942, 'd', PRESS
8025, 'o', PRESS
8050, 'd', RELEASE
8114, 'o', RELEASE
8238, 'g', PRESS
8316, 'g', RELEASE
8588, '.', PRESS
8642, '.', RELEASE
