0, Key.shift, PRESS
96, 'T', PRESS
202, Key.shift, RELEASE
204, 'h', PRESS
204, 't', RELEASE
275, 'h', RELEASE
357, 'e', PRESS
434, Key.space, PRESS
435, 'e', RELEASE
483, Key.space, RELEASE
587, 'q', PRESS
667, 'u', PRESS
703, 'q', RELEASE
770, 'u', RELEASE
883, 'i', PRESS
952, 'i', RELEASE
1028, 'c', PRESS
1099, 'c', RELEASE
1153, 'k', PRESS
1247, 'k', RELEASE
1286, Key.space, PRESS
1371, Key.space, RELEASE
1740, 'b', PRESS
1826, 'b', RELEASE
1903, 'r', PRESS
1980, 'r', RELEASE
2007, 'o', PRESS
2077, 'o', RELEASE
2223, 'w', PRESS
2293, 'w', RELEASE
2326, 'n', PRESS
2390, Key.space, PRESS
2418, 'n', RELEASE
2491, Key.space, RELEASE
2953, 'f', PRESS
3031, 'o', PRESS
3031, 'f', RELEASE
3117, 'o', RELEASE
3204, 'x', PRESS
3277, Key.space, PRESS
3277, 'x', RELEASE
3379, Key.space, RELEASE
3527, 'j', PRESS
3605, 'j', RELEASE
3672, 'u', PRESS
3726, 'u', RELEASE
3855, 'm', PRESS
3924, 'm', RELEASE
4032, 'p', PRESS
4106, 'p', RELEASE
4107, 's', PRESS
4184, 's', RELEASE
4228, Key.space, PRESS
4298, Key.space, RELEASE
4357, 'o', PRESS
4483, 'o', RELEASE
4539, 'v', PRESS
4607, 'v', RELEASE
4727, 'e', PRESS
4788, 'e', RELEASE
4870, 'r', PRESS
4955, Key.space, PRESS
4956, 'r', RELEASE
5011, Key.space, RELEASE
5080, 't', PRESS
5141, 'h', PRESS
5142, 't', RELEASE
5220, 'h', RELEASE
5263, 'e', PRESS
5339, Key.space, PRESS
5340, 'e', RELEASE
5404, Key.space, RELEASE
5552, 'l', PRESS
5620, 'l', RELEASE
5651, 'a', PRESS
5744, 'a', RELEASE
5890, 'z', PRESS
5951, 'z', RELEASE
6082, 'y', PRESS
6152, 'y', RELEASE
6192, Key.space, PRESS
6294, Key.space, RELEASE
6443, 'd', PRESS
6536, 'o', PRESS
6536, 'd', RELEASE
6592, 'o', RELEASE
6736, 'g', PRESS
6804, 'g', RELEASE
7045, '.', PRESS
7106, '.', RELEASE
