0, Key.shift, PRESS
80, 'T', PRESS
181, Key.shift, RELEASE
183, 'h', PRESS
184, 't', RELEASE
259, 'h', RELEASE
344, 'e', PRESS
428, Key.space, PRESS
429, 'e', RELEASE
493, Key.space, RELEASE
765, 'q', PRESS
846, 'u', PRESS
890, 'q', RELEASE
938, 'u', RELEASE
1018, 'i', PRESS
1072, 'i', RELEASE
1126, 'c', PRESS
1203, 'c', RELEASE
1641, 'k', PRESS
1743, 'k', RELEASE
1833, Key.space, PRESS
1903, Key.space, RELEASE
2272, 'v', PRESS
2327, 'v', RELEASE
2513, 'b', PRESS
2583, 'b', RELEASE
2736, Key.backspace, PRESS
2829, Key.backspace, RELEASE
3005, Key.backspace, PRESS
3074, Key.backspace, RELEASE
3183, 'b', PRESS
3253, 'b', RELEASE
