0, Key.shift, PRESS
161, 'T', PRESS
219, Key.shift, RELEASE
236, 't', RELEASE
346, 'h', PRESS
423, 'h', RELEASE
487, 'e', PRESS
557, 'e', RELEASE
654, Key.space, PRESS
739, Key.space, RELEASE
1501, 'q', PRESS
1595, 'q', RELEASE
1612, 'u', PRESS
1690, 'u', RELEASE
1839, 'i', PRESS
1908, 'i', RELEASE
2212, 'c', PRESS
2282, 'c', RELEASE
2393, 'k', PRESS
2463, 'k', RELEASE
3015, Key.space, PRESS
3116, Key.space, RELEASE
3248, 'b', PRESS
3325, 'b', RELEASE
3443, 'r', PRESS
3496, 'r', RELEASE
3554, 'o', PRESS
3647, 'o', RELEASE
3796, 'w', PRESS
3834, 'w', RELEASE
3929, 'n', PRESS
4054, Key.space, PRESS
4054, 'n', RELEASE
4149, Key.space, RELEASE
4527, 'f', PRESS
4613, 'f', RELEASE
4678, 'o', PRESS
4756, 'o', RELEASE
5047, 'x', PRESS
5116, 'x', RELEASE
5529, Key.space, PRESS
5615, Key.space, RELEASE
6235, 'j', PRESS
6304, 'j', RELEASE
6367, 'u', PRESS
6437, 'u', RELEASE
6552, 'm', PRESS
6621, 'm', RELEASE
6793, 'p', PRESS
6870, 'p', RELEASE
6965, 's', PRESS
7035, 's', RELEASE
7061, Key.space, PRESS
7146, Key.space, RELEASE
7296, 'o', PRESS
7399, 'o', RELEASE
7679, 'v', PRESS
7741, 'v', RELEASE
7770, 'e', PRESS
7857, 'e', RELEASE
7940, 'r', PRESS
7988, Key.space, PRESS
8015, 'r', RELEASE
8073, Key.space, RELEASE
8147, 't', PRESS
8234, 't', RELEASE
8343, 'h', PRESS
8428, 'h', RELEASE
8590, 'e', PRESS
8679, Key.space, PRESS
8679, 'e', RELEASE
8749, Key.space, RELEASE
9007, 'l', PRESS
9085, 'l', RELEASE
9203, 'a', PRESS
9280, 'a', RELEASE
9894, 'z', PRESS
9989, 'y', PRESS
9990, 'z', RELEASE
10067, 'y', RELEASE
10109, Key.space, PRESS
10203, Key.space, RELEASE
10370, 'd', PRESS
10447, 'd', RELEASE
10658, 'o', PRESS
10727, 'o', RELEASE
11108, 'g', PRESS
11170, 'g', RELEASE
12130, '.', PRESS
12191, '.', RELEASE
