0, Key.shift, PRESS
160, 'T', PRESS
262, 'T', RELEASE
282, Key.shift, RELEASE
492, 'h', PRESS
562, 'h', RELEASE
1212, 'e', PRESS
1289, 'e', RELEASE
2517, Key.space, PRESS
2620, Key.space, RELEASE
2974, 'q', PRESS
3094, 'u', PRESS
3094, 'q', RELEASE
3155, 'u', RELEASE
3263, 'i', PRESS
3302, 'i', RELEASE
4146, 'c', PRESS
4217, 'c', RELEASE
4245, 'k', PRESS
4315, 'k', RELEASE
4792, Key.space, PRESS
4870, Key.space, RELEASE
5296, 'b', PRESS
5357, 'b', RELEASE
5916, 'r', PRESS
5985, 'r', RELEASE
6067, 'o', PRESS
6145, 'o', RELEASE
6197, 'w', PRESS
6258, 'w', RELEASE
6353, 'n', PRESS
6463, 'n', RELEASE
6572, Key.space, PRESS
6643, Key.space, RELEASE
7613, 'f', PRESS
7683, 'f', RELEASE
7711, 'o', PRESS
7805, 'o', RELEASE
7964, 'x', PRESS
8048, 'x', RELEASE
8075, Key.space, PRESS
8161, Key.space, RELEASE
8390, 'j', PRESS
8451, 'j', RELEASE
8527, 'u', PRESS
8597, 'u', RELEASE
8713, 'm', PRESS
8781, 'm', RELEASE
8910, 'p', PRESS
8996, 'p', RELEASE
9046, 's', PRESS
9132, 's', RELEASE
9173, Key.space, PRESS
9243, Key.space, RELEASE
9367, 'o', PRESS
9516, 'o', RELEASE
9557, 'v', PRESS
9627, 'v', RELEASE
9756, 'e', PRESS
9841, 'e', RELEASE
9915, 'r', PRESS
10017, 'r', RELEASE
10055, Key.space, PRESS
10143, Key.space, RELEASE
10267, 't', PRESS
10329, 't', RELEASE
10345, 'h', PRESS
10423, 'h', RELEASE
10547, 'e', PRESS
10641, 'e', RELEASE
10659, Key.space, PRESS
10728, Key.space, RELEASE
10906, 'l', PRESS
11015, 'l', RELEASE
11052, 'a', PRESS
11146, 'a', RELEASE
12911, 'z', PRESS
12981, 'z', RELEASE
13061, 'y', PRESS
13156, 'y', RELEASE
13193, Key.space, PRESS
13271, Key.space, RELEASE
13453, 'd', PRESS
13530, 'd', RELEASE
13567, 'o', PRESS
13661, 'o', RELEASE
13761, 'g', PRESS
13838, 'g', RELEASE
14796, '.', PRESS
14867, '.', RELEASE
