0, Key.shift, PRESS
136, 'T', PRESS
237, Key.shift, RELEASE
239, 't', RELEASE
258, 'h', PRESS
367, 'h', RELEASE
399, 'e', PRESS
469, Key.space, PRESS
469, 'e', RELEASE
518, Key.space, RELEASE
761, 'q', PRESS
853, 'u', PRESS
853, 'q', RELEASE
917, 'u', RELEASE
1016, 'i', PRESS
1086, 'i', RELEASE
1134, 'c', PRESS
1211, 'c', RELEASE
1255, 'k', PRESS
1388, Key.space, PRESS
1389, 'k', RELEASE
1466, Key.space, RELEASE
1916, 'b', PRESS
1994, 'b', RELEASE
2108, 'r', PRESS
2186, 'r', RELEASE
2236, 'o', PRESS
2306, 'o', RELEASE
2396, 'w', PRESS
2459, 'w', RELEASE
2505, 'n', PRESS
2601, Key.space, PRESS
2621, 'n', RELEASE
2719, Key.space, RELEASE
3481, 'f', PRESS
3567, 'o', PRESS
3567, 'f', RELEASE
3646, 'o', RELEASE
3723, 'x', PRESS
3800, 'x', RELEASE
3869, Key.space, PRESS
3956, Key.space, RELEASE
4095, 'j', PRESS
4189, 'j', RELEASE
4263, 'u', PRESS
4325, 'u', RELEASE
4428, 'm', PRESS
4506, 'm', RELEASE
4620, 'p', PRESS
4699, 'p', RELEASE
4700, 's', PRESS
4749, 's', RELEASE
4826, Key.space, PRESS
4896, Key.space, RELEASE
4949, 'o', PRESS
5028, 'o', RELEASE
5237, 'v', PRESS
5292, 'e', PRESS
5306, 'v', RELEASE
5376, 'e', RELEASE
5451, 'r', PRESS
5547, Key.space, PRESS
5547, 'r', RELEASE
5616, Key.space, RELEASE
5694, 't', PRESS
5741, 'h', PRESS
5762, 't', RELEASE
5818, 'h', RELEASE
5892, 'e', PRESS
5965, Key.space, PRESS
5965, 'e', RELEASE
6018, Key.space, RELEASE
6222, 'l', PRESS
6320, 'l', RELEASE
6321, 'a', PRESS
6399, 'a', RELEASE
6508, 'z', PRESS
6571, 'z', RELEASE
6772, 'y', PRESS
6872, 'y', RELEASE
6903, Key.space, PRESS
6957, Key.space, RELEASE
7267, 'd', PRESS
7386, 'o', PRESS
7387, 'd', RELEASE
7456, 'o', RELEASE
8274, 'g', PRESS
8327, 'g', RELEASE
8797, '.', PRESS
8883, '.', RELEASE
