0, Key.shift, PRESS
89, 'T', PRESS
190, Key.shift, RELEASE
192, 'h', PRESS
193, 't', RELEASE
293, 'h', RELEASE
359, 'e', PRESS
448, Key.space, PRESS
448, 'e', RELEASE
493, Key.space, RELEASE
682, 'q', PRESS
755, 'u', PRESS
791, 'q', RELEASE
855, 'u', RELEASE
963, 'i', PRESS
1032, 'i', RELEASE
1145, 'c', PRESS
1215, 'c', RELEASE
2042, 'k', PRESS
2151, 'k', RELEASE
2169, Key.space, PRESS
2264, Key.space, RELEASE
2458, 'b', PRESS
2527, 'b', RELEASE
2610, 'r', PRESS
2671, 'r', RELEASE
2705, 'o', PRESS
2775, 'o', RELEASE
2835, 'w', PRESS
2905, 'w', RELEASE
2947, 'n', PRESS
3051, Key.space, PRESS
3051, 'n', RELEASE
3153, Key.space, RELEASE
3702, 'f', PRESS
3779, 'o', PRESS
3780, 'f', RELEASE
3843, 'o', RELEASE
3939, 'x', PRESS
3973, Key.space, PRESS
4008, 'x', RELEASE
4075, Key.space, RELEASE
4239, 'j', PRESS
4332, 'j', RELEASE
4405, 'u', PRESS
4475, 'u', RELEASE
4603, 'm', PRESS
4680, 'm', RELEASE
4841, 'p', PRESS
4919, 'p', RELEASE
4958, 's', PRESS
5036, 's', RELEASE
5059, Key.space, PRESS
5121, Key.space, RELEASE
5317, 'o', PRESS
5417, 'o', RELEASE
5418, 'f', PRESS
5462, 'f', RELEASE
5704, Key.backspace, PRESS
5778, Key.backspace, RELEASE
5779, 'v', PRESS
5840, 'v', RELEASE
5953, 'e', PRESS
6030, 'e', RELEASE
6094, 'r', PRESS
6171, Key.space, PRESS
6171, 'r', RELEASE
6235, Key.space, RELEASE
6423, 't', PRESS
6454, 'h', PRESS
6484, 't', RELEASE
6539, 'h', RELEASE
6620, 'e', PRESS
6681, 'e', RELEASE
6702, Key.space, PRESS
6771, Key.space, RELEASE
6916, 'l', PRESS
6986, 'l', RELEASE
7021, 'a', PRESS
7107, 'a', RELEASE
7561, 'z', PRESS
7656, 'y', PRESS
7657, 'z', RELEASE
7792, Key.space, PRESS
7793, 'y', RELEASE
7862, Key.space, RELEASE
8458, 'd', PRESS
8553, 'o', PRESS
8553, 'd', RELEASE
8631, 'o', RELEASE
8712, 'g', PRESS
8766, 'g', RELEASE
9039, '.', PRESS
9101, '.', RELEASE
