0, Key.shift, PRESS
88, 'T', PRESS
181, Key.shift, RELEASE
182, 't', RELEASE
231, 'h', PRESS
325, 'h', RELEASE
695, 'e', PRESS
740, 'e', RELEASE
1143, Key.space, PRESS
1244, Key.space, RELEASE
1276, 'q', PRESS
1379, 'u', PRESS
1380, 'q', RELEASE
1457, 'u', RELEASE
1559, 'i', PRESS
1628, 'i', RELEASE
1698, 'c', PRESS
1768, 'c', RELEASE
1844, 'k', PRESS
1946, Key.space, PRESS
1946, 'k', RELEASE
2017, Key.space, RELEASE
2860, 'b', PRESS
2954, 'b', RELEASE
3060, 'r', PRESS
3138, 'r', RELEASE
3222, 'o', PRESS
3316, 'o', RELEASE
3382, 'w', PRESS
3452, 'w', RELEASE
3504, 'n', PRESS
3586, Key.space, PRESS
3613, 'n', RELEASE
3685, Key.space, RELEASE
4588, 'f', PRESS
4651, 'o', PRESS
4652, 'f', RELEASE
4737, 'o', RELEASE
4810, 'x', PRESS
4828, Key.space, PRESS
4905, Key.space, RELEASE
4905, 'x', RELEASE
5117, 'j', PRESS
5178, 'j', RELEASE
5262, 'u', PRESS
5316, 'u', RELEASE
5430, 'm', PRESS
5508, 'm', RELEASE
5633, 'p', PRESS
5692, 'p', RELEASE
5694, 's', PRESS
5760, 's', RELEASE
5805, Key.space, PRESS
5906, Key.space, RELEASE
5943, 'o', PRESS
6036, 'o', RELEASE
6090, 'v', PRESS
6168, 'v', RELEASE
6297, 'e', PRESS
6382, 'e', RELEASE
6450, 'r', PRESS
6520, 'r', RELEASE
6559, Key.space, PRESS
6649, Key.space, RELEASE
6650, 't', PRESS
6719, 't', RELEASE
6746, 'h', PRESS
6841, 'h', RELEASE
6869, 'e', PRESS
6927, Key.space, PRESS
6946, 'e', RELEASE
6988, Key.space, RELEASE
7341, 'l', PRESS
7442, 'l', RELEASE
7747, 'a', PRESS
7825, 'a', RELEASE
7934, 'z', PRESS
8003, 'z', RELEASE
8171, 'y', PRESS
8266, Key.space, PRESS
8267, 'y', RELEASE
8336, Key.space, RELEASE
8505, 'd', PRESS
8577, 'o', PRESS
8613, 'd', RELEASE
8661, 'o', RELEASE
8789, 'g', PRESS
8859, 'g', RELEASE
9113, '.', PRESS
9166, '.', RELEASE
