0, Key.shift, PRESS
114, 'T', PRESS
188, Key.shift, RELEASE
205, 't', RELEASE
222, 'h', PRESS
339, 'h', RELEASE
442, 'e', PRESS
505, 'e', RELEASE
703, Key.space, PRESS
772, Key.space, RELEASE
943, 'q', PRESS
1044, 'q', RELEASE
1108, 'u', PRESS
1194, 'u', RELEASE
1286, 'i', PRESS
1356, 'i', RELEASE
1434, 'c', PRESS
1504, 'c', RELEASE
1542, 'k', PRESS
1658, Key.space, PRESS
1658, 'k', RELEASE
1723, Key.space, RELEASE
2086, 'b', PRESS
2141, 'b', RELEASE
2817, 'r', PRESS
2870, 'r', RELEASE
3068, 'o', PRESS
3139, 'o', RELEASE
3501, 'w', PRESS
3570, 'w', RELEASE
3616, 'n', PRESS
3725, Key.space, PRESS
3730, 'n', RELEASE
3813, Key.space, RELEASE
4591, 'f', PRESS
4661, 'f', RELEASE
4692, 'o', PRESS
4770, 'o', RELEASE
4851, 'x', PRESS
4924, Key.space, PRESS
4924, 'x', RELEASE
4977, Key.space, RELEASE
5281, 'j', PRESS
5366, 'j', RELEASE
5445, 'u', PRESS
5507, 'u', RELEASE
5623, 'm', PRESS
5701, 'm', RELEASE
5808, 'p', PRESS
5878, 'p', RELEASE
5921, 's', PRESS
6010, Key.space, PRESS
6010, 's', RELEASE
6072, Key.space, RELEASE
6266, 'o', PRESS
6336, 'o', RELEASE
6431, 'v', PRESS
6540, 'v', RELEASE
6657, 'e', PRESS
6727, 'e', RELEASE
6803, 'r', PRESS
6865, 'r', RELEASE
6889, Key.space, PRESS
6967, Key.space, RELEASE
7100, 't', PRESS
7162, 't', RELEASE
7178, 'h', PRESS
7248, 'h', RELEASE
7314, 'e', PRESS
7400, Key.space, PRESS
7400, 'e', RELEASE
7457, Key.space, RELEASE
7762, 'l', PRESS
7834, 'l', RELEASE
7875, 'a', PRESS
7953, 'a', RELEASE
8074, 'z', PRESS
8160, 'z', RELEASE
8409, 't', PRESS
8478, 't', RELEASE
8664, Key.backspace, PRESS
8725, Key.backspace, RELEASE
8791, 'y', PRESS
8845, 'y', RELEASE
8881, Key.space, PRESS
8960, Key.space, RELEASE
9292, 'd', PRESS
9386, 'd', RELEASE
9403, 'o', PRESS
9482, 'o', RELEASE
9649, 'g', PRESS
9710, 'g', RELEASE
9950, '.', PRESS
10021, '.', RELEASE
