0, Key.shift, PRESS
201, 'T', PRESS
300, Key.shift, RELEASE
303, 'h', PRESS
303, 't', RELEASE
371, 'h', RELEASE
462, 'e', PRESS
543, Key.space, PRESS
543, 'e', RELEASE
604, Key.space, RELEASE
882, 'q', PRESS
967, 'q', RELEASE
1040, 'u', PRESS
1127, 'u', RELEASE
1223, 'i', PRESS
1292, 'i', RELEASE
1417, 'c', PRESS
1487, 'c', RELEASE
1531, 'k', PRESS
1650, Key.space, PRESS
1650, 'k', RELEASE
1719, Key.space, RELEASE
1979, 'b', PRESS
2064, 'b', RELEASE
2211, 'r', PRESS
2289, 'r', RELEASE
2389, 'o', PRESS
2467, 'o', RELEASE
2668, 'w', PRESS
2746, 'w', RELEASE
2790, 'n', PRESS
2878, Key.space, PRESS
2899, 'n', RELEASE
2964, Key.space, RELEASE
3331, 'f', PRESS
3417, 'o', PRESS
3418, 'f', RELEASE
3495, 'o', RELEASE
3577, 'x', PRESS
3630, 'x', RELEASE
3657, Key.space, PRESS
3750, Key.space, RELEASE
3894, 'j', PRESS
3979, 'j', RELEASE
4086, 'u', PRESS
4148, 'u', RELEASE
4257, 'm', PRESS
4335, 'm', RELEASE
4448, 'p', PRESS
4520, 'p', RELEASE
4521, 's', PRESS
4591, 's', RELEASE
4636, Key.space, PRESS
4706, Key.space, RELEASE
4784, 'o', PRESS
4854, 'o', RELEASE
5091, 'v', PRESS
5160, 'v', RELEASE
5160, 'e', PRESS
5230, 'e', RELEASE
5302, 'r', PRESS
5398, Key.space, PRESS
5398, 'r', RELEASE
5468, Key.space, RELEASE
5547, 't', PRESS
5616, 'h', PRESS
5616, 't', RELEASE
5678, 'h', RELEASE
5738, 'e', PRESS
5819, Key.space, PRESS
5819, 'e', RELEASE
5881, Key.space, RELEASE
6079, 'l', PRESS
6157, 'l', RELEASE
6187, 'a', PRESS
6256, 'a', RELEASE
6374, 'z', PRESS
6452, 'z', RELEASE
6782, 'y', PRESS
6842, 'y', RELEASE
6916, Key.space, PRESS
6994, Key.space, RELEASE
7712, 'd', PRESS
7822, 'o', PRESS
7822, 'd', RELEASE
7885, 'o', RELEASE
8021, 'g', PRESS
8090, 'g', RELEASE
8346, '.', PRESS
8417, '.', RELEASE
