0, Key.shift, PRESS
304, 'T', PRESS
380, Key.shift, RELEASE
405, 't', RELEASE
482, 'h', PRESS
569, 'h', RELEASE
614, 'e', PRESS
696, Key.space, PRESS
697, 'e', RELEASE
773, Key.space, RELEASE
1114, 'q', PRESS
1207, 'q', RELEASE
1260, 'u', PRESS
1323, 'u', RELEASE
1427, 'i', PRESS
1514, 'i', RELEASE
1554, 'c', PRESS
1624, 'c', RELEASE
1739, 'k', PRESS
1816, 'k', RELEASE
1913, Key.space, PRESS
2000, Key.space, RELEASE
2145, 'b', PRESS
2206, 'b', RELEASE
2318, 'r', PRESS
2396, 'r', RELEASE
2449, 'o', PRESS
2536, 'o', RELEASE
2609, 'w', PRESS
2679, 'w', RELEASE
2719, 'n', PRESS
2807, Key.space, PRESS
2843, 'n', RELEASE
2908, Key.space, RELEASE
3669, 'f', PRESS
3755, 'o', PRESS
3755, 'f', RELEASE
3833, 'o', RELEASE
3955, 'x', PRESS
4033, 'x', RELEASE
4055, Key.space, PRESS
4116, Key.space, RELEASE
4519, 'j', PRESS
4604, 'j', RELEASE
4681, 'u', PRESS
4751, 'u', RELEASE
4873, 'm', PRESS
4951, 'm', RELEASE
5061, 'p', PRESS
5147, 'p', RELEASE
5184, 's', PRESS
5280, 's', RELEASE
5299, Key.space, PRESS
5393, Key.space, RELEASE
5810, 'o', PRESS
5857, 'v', PRESS
5895, 'o', RELEASE
5924, 'v', RELEASE
6052, 'e', PRESS
6130, 'e', RELEASE
6197, 'r', PRESS
6293, Key.space, PRESS
6294, 'r', RELEASE
6379, Key.space, RELEASE
6452, 't', PRESS
6538, 'h', PRESS
6538, 't', RELEASE
6608, 'h', RELEASE
6679, 'e', PRESS
6776, Key.space, PRESS
6777, 'e', RELEASE
6838, Key.space, RELEASE
7296, 'l', PRESS
7366, 'l', RELEASE
7394, 'a', PRESS
7480, 'a', RELEASE
7602, 'z', PRESS
7656, 'z', RELEASE
8039, 'y', PRESS
8141, 'y', RELEASE
8162, Key.space, PRESS
8256, Key.space, RELEASE
8870, 'd', PRESS
8971, 'd', RELEASE
9032, 'o', PRESS
9110, 'o', RELEASE
9307, 'g', PRESS
9385, 'g', RELEASE
9716, '.', PRESS
9794, '.', RELEASE
