0, Key.shift, PRESS
80, 'T', PRESS
181, Key.shift, RELEASE
184, 'h', PRESS
184, 't', RELEASE
267, 'h', RELEASE
418, 'e', PRESS
488, 'e', RELEASE
549, Key.space, PRESS
611, Key.space, RELEASE
891, 'q', PRESS
985, 'q', RELEASE
1082, 'u', PRESS
1168, 'u', RELEASE
1257, 'i', PRESS
1351, 'i', RELEASE
1447, 'c', PRESS
1501, 'c', RELEASE
1575, 'k', PRESS
1694, Key.space, PRESS
1694, 'k', RELEASE
1771, Key.space, RELEASE
2012, 'b', PRESS
2082, 'b', RELEASE
2193, 'r', PRESS
2262, 'r', RELEASE
2298, 'o', PRESS
2376, 'o', RELEASE
2443, 'w', PRESS
2504, 'w', RELEASE
2553, 'n', PRESS
2633, Key.space, PRESS
2653, 'n', RELEASE
2718, Key.space, RELEASE
3510, 'd', PRESS
3580, 'd', RELEASE
3796, Key.backspace, PRESS
3882, Key.backspace, RELEASE
4002, 'f', PRESS
4064, 'f', RELEASE
4173, 'o', PRESS
4298, 'o', RELEASE
4428, 'x', PRESS
4498, 'x', RELEASE
4518, Key.space, PRESS
4571, Key.space, RELEASE
4829, 'j', PRESS
4914, 'j', RELEASE
4980, 'u', PRESS
5050, 'u', RELEASE
5149, 'm', PRESS
5226, 'm', RELEASE
5346, 'p', PRESS
5430, 'p', RELEASE
5431, 's', PRESS
5501, Key.space, PRESS
5521, 's', RELEASE
5578, Key.space, RELEASE
5659, 'o', PRESS
5760, 'o', RELEASE
5976, 'v', PRESS
6046, 'v', RELEASE
6185, 'e', PRESS
6255, 'e', RELEASE
6334, 'r', PRESS
6407, Key.space, PRESS
6426, 'r', RELEASE
6484, Key.space, RELEASE
6550, 't', PRESS
6628, 'h', PRESS
6628, 't', RELEASE
6698, 'h', RELEASE
6759, 'e', PRESS
6836, Key.space, PRESS
6836, 'e', RELEASE
6884, Key.space, RELEASE
7095, 'l', PRESS
7165, 'l', RELEASE
7250, 'a', PRESS
7328, 'a', RELEASE
7726, 'z', PRESS
7780, 'z', RELEASE
7971, 'y', PRESS
8049, 'y', RELEASE
8073, Key.space, PRESS
8159, Key.space, RELEASE
8299, 'd', PRESS
8387, 'o', PRESS
8387, 'd', RELEASE
8455, 'o', RELEASE
8622, 'g', PRESS
8674, 'g', RELEASE
9546, '.', PRESS
9608, '.', RELEASE
