0, Key.shift, PRESS
81, 'T', PRESS
182, Key.shift, RELEASE
184, 't', RELEASE
358, 'h', PRESS
435, 'h', RELEASE
493, 'e', PRESS
564, 'e', RELEASE
594, Key.space, PRESS
647, Key.space, RELEASE
939, 'q', PRESS
1032, 'q', RELEASE
1149, 'u', PRESS
1235, 'u', RELEASE
1333, 'i', PRESS
1419, 'i', RELEASE
1536, 'c', PRESS
1597, 'c', RELEASE
1684, 'k', PRESS
1787, 'k', RELEASE
1802, Key.space, PRESS
1872, Key.space, RELEASE
2094, 'b', PRESS
2156, 'b', RELEASE
2276, 'r', PRESS
2345, 'r', RELEASE
2384, 'o', PRESS
2461, 'o', RELEASE
2575, 'w', PRESS
2645, 'w', RELEASE
2717, 'n', PRESS
2820, Key.space, PRESS
2821, 'n', RELEASE
2905, Key.space, RELEASE
3588, 'd', PRESS
3656, 'd', RELEASE
3880, Key.backspace, PRESS
3959, Key.backspace, RELEASE
4054, 'f', PRESS
4108, 'f', RELEASE
4145, 'p', PRESS
4216, 'p', RELEASE
4359, 'x', PRESS
4420, 'x', RELEASE
4466, Key.space, PRESS
4528, Key.space, RELEASE
4892, 'j', PRESS
5001, 'j', RELEASE
5056, 'u', PRESS
5125, 'u', RELEASE
5236, 'm', PRESS
5298, 'm', RELEASE
5421, 'p', PRESS
5491, 'p', RELEASE
5525, 's', PRESS
5587, 's', RELEASE
5606, Key.space, PRESS
5676, Key.space, RELEASE
5817, 'o', PRESS
5887, 'o', RELEASE
6130, 'v', PRESS
6207, 'v', RELEASE
6208, 'e', PRESS
6285, 'e', RELEASE
6363, 'r', PRESS
6428, Key.space, PRESS
6447, 'r', RELEASE
6496, Key.space, RELEASE
6570, 't', PRESS
6647, 'h', PRESS
6648, 't', RELEASE
6718, 'h', RELEASE
6801, 'e', PRESS
6879, Key.space, PRESS
6879, 'e', RELEASE
6927, Key.space, RELEASE
7179, 'l', PRESS
7249, 'l', RELEASE
7293, 'a', PRESS
7371, 'a', RELEASE
8006, 'z', PRESS
8059, 'z', RELEASE
8128, 'y', PRESS
8214, 'y', RELEASE
8249, Key.space, PRESS
8336, Key.space, RELEASE
8453, 'd', PRESS
8539, 'd', RELEASE
8676, 'o', PRESS
8754, 'o', RELEASE
9097, 'g', PRESS
9158, 'g', RELEASE
9399, '.', PRESS
9454, '.', RELEASE
