0, Key.shift, PRESS
145, 'T', PRESS
253, Key.shift, RELEASE
255, 'h', PRESS
255, 't', RELEASE
323, 'h', RELEASE
409, 'e', PRESS
470, 'e', RELEASE
495, Key.space, PRESS
540, Key.space, RELEASE
726, 'q', PRESS
829, 'q', RELEASE
856, 'u', PRESS
949, 'u', RELEASE
1069, 'i', PRESS
1147, 'i', RELEASE
1636, 'c', PRESS
1723, 'k', PRESS
1723, 'c', RELEASE
1825, 'k', RELEASE
2013, Key.space, PRESS
2115, Key.space, RELEASE
2300, 'b', PRESS
2369, 'b', RELEASE
2565, 'r', PRESS
2643, 'r', RELEASE
2712, 'o', PRESS
2799, 'o', RELEASE
2879, 'w', PRESS
2949, 'w', RELEASE
3017, 'n', PRESS
3106, Key.space, PRESS
3125, 'n', RELEASE
3199, Key.space, RELEASE
3730, 'f', PRESS
3808, 'f', RELEASE
4006, 'o', PRESS
4091, 'o', RELEASE
4186, 'x', PRESS
4263, 'x', RELEASE
4287, Key.space, PRESS
4374, Key.space, RELEASE
4605, 'j', PRESS
4699, 'j', RELEASE
4793, 'u', PRESS
4846, 'u', RELEASE
4987, 'm', PRESS
5065, 'm', RELEASE
5213, 'p', PRESS
5282, 'p', RELEASE
5323, 's', PRESS
5427, Key.space, PRESS
5428, 's', RELEASE
5505, Key.space, RELEASE
5604, 'o', PRESS
5698, 'o', RELEASE
5768, 'v', PRESS
5838, 'v', RELEASE
5960, 'e', PRESS
6030, 'e', RELEASE
6114, 'r', PRESS
6210, Key.space, PRESS
6211, 'r', RELEASE
6288, Key.space, RELEASE
6355, 't', PRESS
6424, 't', RELEASE
6449, 'h', PRESS
6527, 'h', RELEASE
6557, 'e', PRESS
6627, 'e', RELEASE
6646, Key.space, PRESS
6724, Key.space, RELEASE
6967, 'l', PRESS
7037, 'l', RELEASE
7430, 'a', PRESS
7508, 'a', RELEASE
7618, 'z', PRESS
7672, 'z', RELEASE
7923, 'y', PRESS
8009, 'y', RELEASE
8027, Key.space, PRESS
8120, Key.space, RELEASE
8300, 'd', PRESS
8364, 'o', PRESS
8383, 'd', RELEASE
8472, 'o', RELEASE
8601, 'g', PRESS
8663, 'g', RELEASE
8782, ',', PRESS
8844, ',', RELEASE
