0, Key.shift, PRESS
58, 'T', PRESS
159, Key.shift, RELEASE
159, 't', RELEASE
174, 'h', PRESS
276, 'h', RELEASE
323, 'e', PRESS
393, 'e', RELEASE
412, Key.space, PRESS
491, Key.space, RELEASE
855, 'q', PRESS
936, 'u', PRESS
972, 'q', RELEASE
1012, 'u', RELEASE
1127, 'i', PRESS
1189, 'i', RELEASE
1252, 'c', PRESS
1354, 'c', RELEASE
1393, 'k', PRESS
1527, Key.space, PRESS
1527, 'k', RELEASE
1598, Key.space, RELEASE
1791, 'b', PRESS
1852, 'b', RELEASE
1939, 'r', PRESS
2017, 'r', RELEASE
2104, 'o', PRESS
2190, 'o', RELEASE
2323, 'w', PRESS
2392, 'w', RELEASE
2443, 'n', PRESS
2544, Key.space, PRESS
2545, 'n', RELEASE
2632, Key.space, RELEASE
3233, 'f', PRESS
3311, 'f', RELEASE
3328, 'o', PRESS
3398, 'o', RELEASE
3495, 'x', PRESS
3583, Key.space, PRESS
3584, 'x', RELEASE
3653, Key.space, RELEASE
4286, 'j', PRESS
4364, 'j', RELEASE
4448, 'u', PRESS
4494, 'u', RELEASE
4632, 'm', PRESS
4693, 'm', RELEASE
4840, 'p', PRESS
4901, 'p', RELEASE
4966, 's', PRESS
5036, 's', RELEASE
5056, Key.space, PRESS
5125, Key.space, RELEASE
5349, 'o', PRESS
5425, 'o', RELEASE
5644, 'v', PRESS
5706, 'v', RELEASE
5831, 'e', PRESS
5893, 'e', RELEASE
5975, 'r', PRESS
6061, Key.space, PRESS
6062, 'r', RELEASE
6124, Key.space, RELEASE
6223, 't', PRESS
6285, 'h', PRESS
6285, 't', RELEASE
6363, 'h', RELEASE
6424, 'e', PRESS
6502, 'e', RELEASE
6542, Key.space, PRESS
6597, Key.space, RELEASE
6893, 'l', PRESS
7002, 'l', RELEASE
7049, 'a', PRESS
7127, 'a', RELEASE
7237, 'z', PRESS
7284, 'z', RELEASE
7466, 'y', PRESS
7536, 'y', RELEASE
7606, Key.space, PRESS
7699, Key.space, RELEASE
7869, 'd', PRESS
7957, 'o', PRESS
7976, 'd', RELEASE
8048, 'o', RELEASE
8188, 'g', PRESS
8241, 'g', RELEASE
8533, '.', PRESS
8595, '.', RELEASE
