0, Key.shift, PRESS
112, 'T', PRESS
213, Key.shift, RELEASE
216, 'h', PRESS
216, 't', RELEASE
267, 'h', RELEASE
389, 'e', PRESS
466, 'e', RELEASE
502, Key.space, PRESS
572, Key.space, RELEASE
860, 'q', PRESS
969, 'q', RELEASE
986, 'u', PRESS
1048, 'u', RELEASE
1139, 'i', PRESS
1209, 'i', RELEASE
1300, 'c', PRESS
1370, 'c', RELEASE
1475, 'k', PRESS
1561, 'k', RELEASE
1585, Key.space, PRESS
1663, Key.space, RELEASE
1926, 'b', PRESS
1996, 'b', RELEASE
2165, 'r', PRESS
2235, 'r', RELEASE
2252, 'o', PRESS
2337, 'o', RELEASE
2426, 'w', PRESS
2496, 'w', RELEASE
2550, 'n', PRESS
2638, Key.space, PRESS
2659, 'n', RELEASE
2724, Key.space, RELEASE
3635, 'f', PRESS
3704, 'f', RELEASE
3769, 'o', PRESS
3847, 'o', RELEASE
4001, 'x', PRESS
4071, 'x', RELEASE
4109, Key.space, PRESS
4172, Key.space, RELEASE
4382, 'j', PRESS
4451, 'j', RELEASE
4533, 'u', PRESS
4595, 'u', RELEASE
4728, 'm', PRESS
4798, 'm', RELEASE
4959, 'p', PRESS
5029, 'p', RELEASE
5107, 's', PRESS
5177, 's', RELEASE
5220, Key.space, PRESS
5297, Key.space, RELEASE
5713, 'o', PRESS
5782, 'o', RELEASE
5992, 'v', PRESS
6069, 'v', RELEASE
6216, 'e', PRESS
6318, 'e', RELEASE
6397, 'r', PRESS
6475, 'r', RELEASE
6525, Key.space, PRESS
6603, Key.space, RELEASE
6803, 't', PRESS
6895, 'h', PRESS
6896, 't', RELEASE
6958, 'h', RELEASE
7049, 'e', PRESS
7118, 'e', RELEASE
7140, Key.space, PRESS
7210, Key.space, RELEASE
7449, 'l', PRESS
7519, 'l', RELEASE
7588, 'a', PRESS
7682, 'a', RELEASE
8041, 'z', PRESS
8110, 'z', RELEASE
8290, 'y', PRESS
8367, 'y', RELEASE
8394, Key.space, PRESS
8480, Key.space, RELEASE
8648, 'd', PRESS
8736, 'd', RELEASE
8763, 'o', PRESS
8857, 'o', RELEASE
9142, 'g', PRESS
9212, 'g', RELEASE
10415, ',', PRESS
10469, ',', RELEASE
11011, Key.backspace, PRESS
11073, Key.backspace, RELEASE
11291, '.', PRESS
11336, '.', RELEASE
