0, Key.shift, PRESS
184, 'T', PRESS
230, 'T', RELEASE
267, Key.shift, RELEASE
420, 'h', PRESS
481, 'h', RELEASE
554, 'e', PRESS
615, 'e', RELEASE
670, Key.space, PRESS
731, Key.space, RELEASE
834, 'q', PRESS
896, 'q', RELEASE
1067, 'u', PRESS
1113, 'u', RELEASE
1323, 'i', PRESS
1377, 'i', RELEASE
1537, 'c', PRESS
1598, 'c', RELEASE
1691, 'k', PRESS
1769, 'k', RELEASE
1834, Key.space, PRESS
1904, Key.space, RELEASE
2108, 'b', PRESS
2162, 'b', RELEASE
2370, 'r', PRESS
2424, 'r', RELEASE
2514, 'o', PRESS
2568, 'o', RELEASE
2727, 'w', PRESS
2781, 'w', RELEASE
2925, 'n', PRESS
2978, 'n', RELEASE
3042, Key.space, PRESS
3112, Key.space, RELEASE
3357, 'f', PRESS
3419, 'f', RELEASE
3657, 'o', PRESS
3710, 'o', RELEASE
3941, 'x', PRESS
3995, 'x', RELEASE
4019, Key.space, PRESS
4081, Key.space, RELEASE
4505, 'j', PRESS
4566, 'j', RELEASE
4700, 'u', PRESS
4746, 'u', RELEASE
5009, 'm', PRESS
5063, 'm', RELEASE
5248, 'p', PRESS
5302, 'p', RELEASE
5470, 's', PRESS
5540, 's', RELEASE
5585, Key.space, PRESS
5662, Key.space, RELEASE
5879, 'o', PRESS
5931, 'o', RELEASE
6203, 'v', PRESS
6256, 'v', RELEASE
6307, 'e', PRESS
6377, 'e', RELEASE
6472, 'r', PRESS
6526, 'r', RELEASE
6589, Key.space, PRESS
6659, Key.space, RELEASE
6734, 't', PRESS
6797, 't', RELEASE
6812, 'h', PRESS
6875, 'h', RELEASE
6982, 'e', PRESS
7036, 'e', RELEASE
7081, Key.space, PRESS
7142, Key.space, RELEASE
7373, 'l', PRESS
7420, 'l', RELEASE
7495, 'a', PRESS
7557, 'a', RELEASE
7775, 'z', PRESS
7829, 'z', RELEASE
8058, 'y', PRESS
8111, 'y', RELEASE
8192, Key.space, PRESS
8254, Key.space, RELEASE
8686, 'd', PRESS
8748, 'd', RELEASE
8854, 'o', PRESS
8917, 'o', RELEASE
9127, 'g', PRESS
9173, 'g', RELEASE
9429, '.', PRESS
9474, '.', RELEASE
