0, Key.shift, PRESS
390, 'T', PRESS
446, 'T', RELEASE
490, Key.shift, RELEASE
603, 'h', PRESS
658, 'h', RELEASE
744, 'e', PRESS
807, 'e', RELEASE
872, Key.space, PRESS
971, Key.space, RELEASE
1038, 'q', PRESS
1109, 'q', RELEASE
1241, 'u', PRESS
1296, 'u', RELEASE
1502, 'i', PRESS
1556, 'i', RELEASE
1860, 'c', PRESS
1923, 'c', RELEASE
1978, 'k', PRESS
2032, 'k', RELEASE
2130, Key.space, PRESS
2200, Key.space, RELEASE
2635, 'b', PRESS
2682, 'b', RELEASE
2804, 'r', PRESS
2866, 'r', RELEASE
3034, 'o', PRESS
3080, 'o', RELEASE
3310, 'w', PRESS
3372, 'w', RELEASE
3494, 'n', PRESS
3557, 'n', RELEASE
3631, Key.space, PRESS
3700, Key.space, RELEASE
3872, 'f', PRESS
3951, 'f', RELEASE
4089, 'o', PRESS
4144, 'o', RELEASE
4316, 'x', PRESS
4395, 'x', RELEASE
4422, Key.space, PRESS
4484, Key.space, RELEASE
4915, 'j', PRESS
4971, 'j', RELEASE
5191, 'u', PRESS
5237, 'u', RELEASE
5414, 'm', PRESS
5468, 'm', RELEASE
5697, 'p', PRESS
5746, 'p', RELEASE
5826, 's', PRESS
5888, 's', RELEASE
5955, Key.space, PRESS
6017, Key.space, RELEASE
6250, 'o', PRESS
6296, 'o', RELEASE
6555, 'v', PRESS
6601, 'v', RELEASE
6670, 'e', PRESS
6740, 'e', RELEASE
6848, 'r', PRESS
6910, 'r', RELEASE
6972, Key.space, PRESS
7043, Key.space, RELEASE
7080, 't', PRESS
7150, 't', RELEASE
7176, 'h', PRESS
7238, 'h', RELEASE
7364, 'e', PRESS
7419, 'e', RELEASE
7441, Key.space, PRESS
7512, Key.space, RELEASE
7747, 'l', PRESS
7809, 'l', RELEASE
7864, 'a', PRESS
7926, 'a', RELEASE
8192, 'z', PRESS
8263, 'z', RELEASE
8483, 'y', PRESS
8506, 'y', RELEASE
8642, Key.space, PRESS
8744, Key.space, RELEASE
9928, 'd', PRESS
9984, 'd', RELEASE
10105, 'o', PRESS
10160, 'o', RELEASE
10529, 'g', PRESS
10591, 'g', RELEASE
10701, '.', PRESS
10756, '.', RELEASE
