0, Key.shift, PRESS
199, 'T', PRESS
245, 'T', RELEASE
274, Key.shift, RELEASE
415, 'h', PRESS
486, 'h', RELEASE
580, 'e', PRESS
643, 'e', RELEASE
725, Key.space, PRESS
794, Key.space, RELEASE
1265, 'q', PRESS
1335, 'q', RELEASE
1408, 'u', PRESS
1463, 'u', RELEASE
1571, 'i', PRESS
1634, 'i', RELEASE
1748, 'c', PRESS
1811, 'c', RELEASE
1896, 'k', PRESS
1975, 'k', RELEASE
2074, Key.space, PRESS
2145, Key.space, RELEASE
2343, 'b', PRESS
2398, 'b', RELEASE
2537, 'r', PRESS
2608, 'r', RELEASE
2792, 'o', PRESS
2847, 'o', RELEASE
3039, 'w', PRESS
3101, 'w', RELEASE
3513, 'n', PRESS
3584, 'n', RELEASE
3865, Key.space, PRESS
3927, Key.space, RELEASE
4643, 'f', PRESS
4697, 'f', RELEASE
4789, 'o', PRESS
4835, 'o', RELEASE
5049, 'x', PRESS
5128, 'x', RELEASE
5182, Key.space, PRESS
5253, Key.space, RELEASE
5755, 'j', PRESS
5817, 'j', RELEASE
6049, 'u', PRESS
6094, 'u', RELEASE
6247, 'm', PRESS
6301, 'm', RELEASE
6540, 'p', PRESS
6595, 'p', RELEASE
6704, 's', PRESS
6758, 's', RELEASE
6795, Key.space, PRESS
6858, Key.space, RELEASE
7004, 'o', PRESS
7074, 'o', RELEASE
7352, 'v', PRESS
7399, 'v', RELEASE
7481, 'e', PRESS
7543, 'e', RELEASE
7654, 'r', PRESS
7710, 'r', RELEASE
8141, Key.space, PRESS
8203, Key.space, RELEASE
8376, 't', PRESS
8471, 't', RELEASE
8523, 'h', PRESS
8601, 'h', RELEASE
9103, 'e', PRESS
9182, 'e', RELEASE
9248, Key.space, PRESS
9303, Key.space, RELEASE
9594, 'l', PRESS
9649, 'l', RELEASE
9688, 'a', PRESS
9767, 'a', RELEASE
9940, 'z', PRESS
10002, 'z', RELEASE
10190, 'y', PRESS
10243, 'y', RELEASE
10314, Key.space, PRESS
10399, Key.space, RELEASE
10651, 'd', PRESS
10721, 'd', RELEASE
10869, 'o', PRESS
10923, 'o', RELEASE
11159, 'g', PRESS
11213, 'g', RELEASE
11446, '.', PRESS
11501, '.', RELEASE
