0, Key.shift, PRESS
192, 'T', PRESS
247, 'T', RELEASE
266, Key.shift, RELEASE
435, 'h', PRESS
481, 'h', RELEASE
637, 'e', PRESS
707, 'e', RELEASE
842, Key.space, PRESS
904, Key.space, RELEASE
1070, 'q', PRESS
1164, 'q', RELEASE
1367, 'u', PRESS
1412, 'u', RELEASE
1790, 'i', PRESS
1852, 'i', RELEASE
2137, 'c', PRESS
2199, 'c', RELEASE
2237, 'k', PRESS
2315, 'k', RELEASE
2360, Key.space, PRESS
2446, Key.space, RELEASE
2904, 'b', PRESS
2950, 'b', RELEASE
3107, 'r', PRESS
3177, 'r', RELEASE
3324, 'o', PRESS
3376, 'o', RELEASE
3645, 'w', PRESS
3723, 'w', RELEASE
3815, 'n', PRESS
3877, 'n', RELEASE
3956, Key.space, PRESS
4018, Key.space, RELEASE
4197, 'f', PRESS
4268, 'f', RELEASE
4384, 'o', PRESS
4436, 'o', RELEASE
4726, 'x', PRESS
4796, 'x', RELEASE
4852, Key.space, PRESS
4913, Key.space, RELEASE
5540, 'j', PRESS
5584, 'j', RELEASE
5749, 'u', PRESS
5795, 'u', RELEASE
6005, 'm', PRESS
6043, 'm', RELEASE
6257, 'p', PRESS
6318, 'p', RELEASE
6432, 's', PRESS
6493, 's', RELEASE
6550, Key.space, PRESS
6612, Key.space, RELEASE
7124, 'o', PRESS
7177, 'o', RELEASE
7474, 'v', PRESS
7513, 'v', RELEASE
7554, 'e', PRESS
7640, 'e', RELEASE
7730, 'r', PRESS
7784, 'r', RELEASE
7851, Key.space, PRESS
7912, Key.space, RELEASE
7996, 't', PRESS
8050, 't', RELEASE
8103, 'h', PRESS
8172, 'h', RELEASE
8267, 'e', PRESS
8321, 'e', RELEASE
8361, Key.space, PRESS
8431, Key.space, RELEASE
8800, 'l', PRESS
8853, 'l', RELEASE
8899, 'a', PRESS
8969, 'a', RELEASE
9157, 'z', PRESS
9203, 'z', RELEASE
9526, 'y', PRESS
9579, 'y', RELEASE
9676, Key.space, PRESS
9737, Key.space, RELEASE
10129, 'd', PRESS
10197, 'd', RELEASE
10318, 'o', PRESS
10372, 'o', RELEASE
10600, 'g', PRESS
10647, 'g', RELEASE
10836, '.', PRESS
10898, '.', RELEASE
