0, Key.shift, PRESS
175, 'T', PRESS
210, Key.shift, RELEASE
236, 't', RELEASE
441, 'h', PRESS
504, 'h', RELEASE
629, 'e', PRESS
676, 'e', RELEASE
729, Key.space, PRESS
800, Key.space, RELEASE
902, 'q', PRESS
963, 'q', RELEASE
1108, 'u', PRESS
1162, 'u', RELEASE
1277, 'i', PRESS
1331, 'i', RELEASE
1447, 'c', PRESS
1509, 'c', RELEASE
1602, 'k', PRESS
1704, 'k', RELEASE
1826, Key.space, PRESS
1886, Key.space, RELEASE
2330, 'b', PRESS
2376, 'b', RELEASE
2513, 'r', PRESS
2575, 'r', RELEASE
2754, 'o', PRESS
2808, 'o', RELEASE
3250, 'w', PRESS
3312, 'w', RELEASE
3375, 'n', PRESS
3436, 'n', RELEASE
3564, Key.space, PRESS
3634, Key.space, RELEASE
3749, 'f', PRESS
3804, 'f', RELEASE
3968, 'o', PRESS
4021, 'o', RELEASE
4169, 'x', PRESS
4232, 'x', RELEASE
4265, Key.space, PRESS
4335, Key.space, RELEASE
5334, 'j', PRESS
5372, 'j', RELEASE
5565, 'u', PRESS
5604, 'u', RELEASE
5818, 'm', PRESS
5865, 'm', RELEASE
6080, 'p', PRESS
6134, 'p', RELEASE
6234, 's', PRESS
6303, 's', RELEASE
6327, Key.space, PRESS
6389, Key.space, RELEASE
6712, 'o', PRESS
6764, 'o', RELEASE
7037, 'v', PRESS
7091, 'v', RELEASE
7154, 'e', PRESS
7224, 'e', RELEASE
7340, 'r', PRESS
7401, 'r', RELEASE
7550, Key.space, PRESS
7628, Key.space, RELEASE
7719, 't', PRESS
7780, 't', RELEASE
7849, 'h', PRESS
7911, 'h', RELEASE
8001, 'e', PRESS
8071, 'e', RELEASE
8132, Key.space, PRESS
8194, Key.space, RELEASE
8735, 'l', PRESS
8789, 'l', RELEASE
8873, 'a', PRESS
8942, 'a', RELEASE
9180, 'z', PRESS
9257, 'z', RELEASE
9505, 'y', PRESS
9559, 'y', RELEASE
9659, Key.space, PRESS
9720, Key.space, RELEASE
10604, 'd', PRESS
10674, 'd', RELEASE
10721, 'o', PRESS
10791, 'o', RELEASE
10898, 'g', PRESS
10943, 'g', RELEASE
11311, '.', PRESS
11373, '.', RELEASE
