0, Key.shift, PRESS
144, 'T', PRESS
219, Key.shift, RELEASE
220, 't', RELEASE
349, 'h', PRESS
419, 'h', RELEASE
485, 'e', PRESS
547, 'e', RELEASE
619, Key.space, PRESS
682, Key.space, RELEASE
747, 'q', PRESS
818, 'q', RELEASE
949, 'u', PRESS
1004, 'u', RELEASE
1228, 'i', PRESS
1274, 'i', RELEASE
1456, 'c', PRESS
1527, 'c', RELEASE
1640, 'k', PRESS
1710, 'k', RELEASE
1782, Key.space, PRESS
1844, Key.space, RELEASE
2183, 'b', PRESS
2233, 'b', RELEASE
2373, 'r', PRESS
2436, 'r', RELEASE
2609, 'o', PRESS
2656, 'o', RELEASE
2817, 'w', PRESS
2881, 'w', RELEASE
2990, 'n', PRESS
3052, 'n', RELEASE
3248, Key.space, PRESS
3310, Key.space, RELEASE
3573, 'f', PRESS
3643, 'f', RELEASE
3797, 'o', PRESS
3844, 'o', RELEASE
4012, 'x', PRESS
4099, 'x', RELEASE
4166, Key.space, PRESS
4228, Key.space, RELEASE
4708, 'j', PRESS
4765, 'j', RELEASE
4931, 'u', PRESS
4977, 'u', RELEASE
5169, 'm', PRESS
5215, 'm', RELEASE
5443, 'p', PRESS
5500, 'p', RELEASE
5716, 's', PRESS
5778, 's', RELEASE
5861, Key.space, PRESS
5923, Key.space, RELEASE
6065, 'o', PRESS
6120, 'o', RELEASE
6379, 'v', PRESS
6425, 'v', RELEASE
6502, 'e', PRESS
6549, 'e', RELEASE
6657, 'r', PRESS
6703, 'r', RELEASE
7732, Key.space, PRESS
7801, Key.space, RELEASE
7864, 't', PRESS
7927, 't', RELEASE
7974, 'h', PRESS
8029, 'h', RELEASE
8120, 'e', PRESS
8190, 'e', RELEASE
8248, Key.space, PRESS
8293, Key.space, RELEASE
8514, 'l', PRESS
8577, 'l', RELEASE
8630, 'a', PRESS
8693, 'a', RELEASE
8893, 'z', PRESS
8955, 'z', RELEASE
9121, 'y', PRESS
9167, 'y', RELEASE
9262, Key.space, PRESS
9333, Key.space, RELEASE
9725, 'd', PRESS
9812, 'd', RELEASE
9966, 'o', PRESS
10022, 'o', RELEASE
10207, 'g', PRESS
10277, 'g', RELEASE
10456, '.', PRESS
10510, '.', RELEASE
