0, 't', PRESS
79, 'h', PRESS
101, 't', RELEASE
171, 'h', RELEASE
172, 'e', PRESS
291, Key.space, PRESS
292, 'e', RELEASE
373, 'q', PRESS
444, Key.space, RELEASE
445, 'u', PRESS
504, 'i', PRESS
505, 'q', RELEASE
560, 'u', RELEASE
615, 'i', RELEASE
641, 'c', PRESS
729, 'k', PRESS
757, 'c', RELEASE
822, 'k', RELEASE
843, Key.space, PRESS
935, 'b', PRESS
991, Key.space, RELEASE
1019, 'b', RELEASE
1114, 'r', PRESS
1223, 'o', PRESS
1223, 'r', RELEASE
1285, 'o', RELEASE
1316, 'w', PRESS
1396, 'n', PRESS
1416, 'w', RELEASE
1467, Key.space, PRESS
1503, 'n', RELEASE
1598, 'f', PRESS
1639, Key.space, RELEASE
1701, 'o', PRESS
1737, 'f', RELEASE
1794, 'o', RELEASE
1834, 'x', PRESS
1912, Key.space, PRESS
1912, 'x', RELEASE
1992, 'j', PRESS
2047, Key.space, RELEASE
2047, 'j', RELEASE
2121, 'u', PRESS
2199, 'u', RELEASE
2317, 'm', PRESS
2371, 'm', RELEASE
2422, 'p', PRESS
2505, 's', PRESS
2554, 'p', RELEASE
2602, Key.space, PRESS
2620, 's', RELEASE
2732, Key.space, RELEASE
2733, 'o', PRESS
2794, 'v', PRESS
2849, 'o', RELEASE
2871, 'v', RELEASE
2957, 'e', PRESS
2988, 'r', PRESS
3034, 'e', RELEASE
3066, 'r', RELEASE
3110, Key.space, PRESS
3146, 't', PRESS
3262, Key.space, RELEASE
3263, 'h', PRESS
3263, 't', RELEASE
3339, 'h', RELEASE
3339, 'e', PRESS
3405, Key.space, PRESS
3424, 'e', RELEASE
3523, 'l', PRESS
3560, Key.space, RELEASE
3596, 'a', PRESS
3636, 'l', RELEASE
3673, 'a', RELEASE
3763, 'z', PRESS
3863, 'y', PRESS
3864, 'z', RELEASE
3898, Key.space, PRESS
3918, 'y', RELEASE
4005, 'd', PRESS
4029, Key.space, RELEASE
4081, 'd', RELEASE
4102, 'o', PRESS
4179, 'o', RELEASE
4180, 'g', PRESS
4266, '.', PRESS
4303, 'g', RELEASE
4375, '.', RELEASE
