0, 't', PRESS
62, 'h', PRESS
91, 't', RELEASE
155, 'h', RELEASE
156, 'e', PRESS
239, Key.space, PRESS
240, 'e', RELEASE
308, 'q', PRESS
389, Key.space, RELEASE
390, 'u', PRESS
424, 'q', RELEASE
441, 'i', PRESS
495, 'u', RELEASE
550, 'c', PRESS
565, 'i', RELEASE
652, 'k', PRESS
673, 'c', RELEASE
784, Key.space, PRESS
784, 'k', RELEASE
918, 'b', PRESS
934, Key.space, RELEASE
978, 'b', RELEASE
1084, 'r', PRESS
1148, 'o', PRESS
1176, 'r', RELEASE
1245, 'o', RELEASE
1246, 'w', PRESS
1309, 'n', PRESS
1338, 'w', RELEASE
1389, Key.space, PRESS
1422, 'n', RELEASE
1464, 'f', PRESS
1512, Key.space, RELEASE
1535, 'o', PRESS
1571, 'f', RELEASE
1620, 'o', RELEASE
1668, 'x', PRESS
1757, Key.space, PRESS
1784, 'x', RELEASE
1901, Key.space, RELEASE
1922, 'j', PRESS
1960, 'j', RELEASE
2039, 'u', PRESS
2103, 'u', RELEASE
2202, 'm', PRESS
2260, 'm', RELEASE
2308, 'p', PRESS
2392, 's', PRESS
2425, 'p', RELEASE
2500, Key.space, PRESS
2500, 's', RELEASE
2574, Key.space, RELEASE
2608, 'o', PRESS
2711, 'o', RELEASE
2744, 'v', PRESS
2797, 'v', RELEASE
2885, 'e', PRESS
2932, 'r', PRESS
2961, 'e', RELEASE
3018, 'r', RELEASE
3064, Key.space, PRESS
3116, 't', PRESS
3207, Key.space, RELEASE
3208, 'h', PRESS
3209, 't', RELEASE
3285, 'h', RELEASE
3286, 'e', PRESS
3363, Key.space, PRESS
3363, 'e', RELEASE
3443, 'l', PRESS
3474, Key.space, RELEASE
3533, 'a', PRESS
3558, 'l', RELEASE
3619, 'a', RELEASE
3705, 'z', PRESS
3770, 'y', PRESS
3797, 'z', RELEASE
3816, Key.space, PRESS
3845, 'y', RELEASE
3939, 'd', PRESS
3956, Key.space, RELEASE
4018, 'o', PRESS
4018, 'd', RELEASE
4110, 'o', RELEASE
4111, 'g', PRESS
4182, '.', PRESS
4218, 'g', RELEASE
4283, '.', RELEASE
