0, Key.shift_r, PRESS
56, 'T', PRESS
115, Key.shift_r, RELEASE
165, 't', RELEASE
220, 'h', PRESS
305, 'h', RELEASE
306, 'e', PRESS
359, 'e', RELEASE
391, Key.space, PRESS
490, 'q', PRESS
556, Key.space, RELEASE
614, 'q', RELEASE
639, 'u', PRESS
695, 'i', PRESS
748, 'u', RELEASE
786, 'i', RELEASE
787, 'c', PRESS
889, 'k', PRESS
889, 'c', RELEASE
973, Key.space, PRESS
974, 'k', RELEASE
1043, 'b', PRESS
1082, Key.space, RELEASE
1119, 'b', RELEASE
1220, 'r', PRESS
1312, 'o', PRESS
1312, 'r', RELEASE
1390, 'o', RELEASE
1391, 'w', PRESS
1429, 'n', PRESS
1491, Key.space, PRESS
1492, 'w', RELEASE
1520, 'n', RELEASE
1590, 'f', PRESS
1616, Key.space, RELEASE
1733, 'o', PRESS
1733, 'f', RELEASE
1831, 'o', RELEASE
1832, 'x', PRESS
1898, Key.space, PRESS
1924, 'x', RELEASE
2014, Key.space, RELEASE
2074, 'j', PRESS
2112, 'j', RELEASE
2184, 'u', PRESS
2262, 'u', RELEASE
2358, 'm', PRESS
2427, 'm', RELEASE
2494, 'p', PRESS
2562, 's', PRESS
2595, 'p', RELEASE
2619, Key.space, PRESS
2653, 's', RELEASE
2742, Key.space, RELEASE
2743, 'o', PRESS
2803, 'v', PRESS
2851, 'o', RELEASE
2872, 'v', RELEASE
2953, 'e', PRESS
3001, 'r', PRESS
3022, 'e', RELEASE
3077, Key.space, PRESS
3077, 'r', RELEASE
3154, 't', PRESS
3202, Key.space, RELEASE
3254, 'h', PRESS
3254, 't', RELEASE
3317, 'h', RELEASE
3357, 'e', PRESS
3421, Key.space, PRESS
3422, 'e', RELEASE
3553, Key.space, RELEASE
3554, 'l', PRESS
3637, 'a', PRESS
3713, 'l', RELEASE
3714, 'a', RELEASE
3799, 'z', PRESS
3872, 'y', PRESS
3899, 'z', RELEASE
3927, Key.space, PRESS
3955, 'y', RELEASE
4018, 'd', PRESS
4059, Key.space, RELEASE
4126, 'o', PRESS
4126, 'd', RELEASE
4195, 'o', RELEASE
4196, 'g', PRESS
4322, 'g', RELEASE
4811, '.', PRESS
4888, '.', RELEASE
