0, 't', PRESS
103, 'h', PRESS
103, 't', RELEASE
188, 'e', PRESS
211, 'h', RELEASE
257, 'e', RELEASE
275, Key.space, PRESS
350, 'q', PRESS
400, Key.space, RELEASE
422, 'u', PRESS
449, 'q', RELEASE
492, 'i', PRESS
529, 'u', RELEASE
608, 'i', RELEASE
608, 'c', PRESS
716, 'k', PRESS
716, 'c', RELEASE
811, Key.space, PRESS
812, 'k', RELEASE
913, Key.space, RELEASE
960, 'b', PRESS
1030, 'b', RELEASE
1127, 'r', PRESS
1183, 'o', PRESS
1219, 'r', RELEASE
1282, 'o', RELEASE
1283, 'w', PRESS
1345, 'n', PRESS
1397, 'w', RELEASE
1416, Key.space, PRESS
1444, 'n', RELEASE
1499, 'f', PRESS
1539, Key.space, RELEASE
1587, 'o', PRESS
1606, 'f', RELEASE
1687, 'o', RELEASE
1735, 'x', PRESS
1860, Key.space, PRESS
1861, 'x', RELEASE
1965, Key.space, RELEASE
1988, 'j', PRESS
2042, 'j', RELEASE
2125, 'u', PRESS
2195, 'u', RELEASE
2288, 'm', PRESS
2358, 'm', RELEASE
2428, 'p', PRESS
2503, 's', PRESS
2528, 'p', RELEASE
2568, Key.space, PRESS
2594, 's', RELEASE
2683, Key.space, RELEASE
2684, 'o', PRESS
2776, 'v', PRESS
2799, 'o', RELEASE
2836, 'v', RELEASE
2929, 'e', PRESS
2960, 'r', PRESS
2990, 'e', RELEASE
3056, Key.space, PRESS
3057, 'r', RELEASE
3140, 't', PRESS
3180, Key.space, RELEASE
3232, 'h', PRESS
3233, 't', RELEASE
3294, 'e', PRESS
3325, 'h', RELEASE
3398, Key.space, PRESS
3398, 'e', RELEASE
3483, 'l', PRESS
3498, Key.space, RELEASE
3575, 'a', PRESS
3615, 'l', RELEASE
3666, 'a', RELEASE
3755, 'z', PRESS
3812, 'y', PRESS
3847, 'z', RELEASE
3891, Key.space, PRESS
3891, 'y', RELEASE
3982, 'd', PRESS
3998, Key.space, RELEASE
4075, 'o', PRESS
4075, 'd', RELEASE
4146, 'o', RELEASE
4173, 'g', PRESS
4252, 'g', RELEASE
4268, '.', PRESS
4371, '.', RELEASE
