0, 't', PRESS
94, 'h', PRESS
94, 't', RELEASE
177, 'h', RELEASE
179, 'e', PRESS
256, 'e', RELEASE
274, Key.space, PRESS
365, 'q', PRESS
444, Key.space, RELEASE
444, 'u', PRESS
481, 'q', RELEASE
498, 'i', PRESS
552, 'u', RELEASE
614, 'i', RELEASE
614, 'c', PRESS
707, 'k', PRESS
707, 'c', RELEASE
793, Key.space, PRESS
794, 'k', RELEASE
920, Key.space, RELEASE
921, 'b', PRESS
971, 'b', RELEASE
1067, 'r', PRESS
1153, 'o', PRESS
1154, 'r', RELEASE
1228, 'o', RELEASE
1229, 'w', PRESS
1276, 'n', PRESS
1329, 'w', RELEASE
1369, Key.space, PRESS
1370, 'n', RELEASE
1516, Key.space, RELEASE
1517, 'f', PRESS
1626, 'o', PRESS
1626, 'f', RELEASE
1690, 'o', RELEASE
1748, 'x', PRESS
1829, Key.space, PRESS
1856, 'x', RELEASE
1953, 'j', PRESS
1968, Key.space, RELEASE
1998, 'j', RELEASE
2066, 'u', PRESS
2143, 'u', RELEASE
2247, 'm', PRESS
2300, 'm', RELEASE
2357, 'p', PRESS
2456, 's', PRESS
2497, 'p', RELEASE
2521, Key.space, PRESS
2548, 's', RELEASE
2614, Key.space, RELEASE
2669, 'o', PRESS
2784, 'o', RELEASE
2784, 'v', PRESS
2839, 'v', RELEASE
2927, 'e', PRESS
2969, 'r', PRESS
2996, 'e', RELEASE
3053, 'r', RELEASE
3076, Key.space, PRESS
3136, 't', PRESS
3192, Key.space, RELEASE
3229, 'h', PRESS
3229, 't', RELEASE
3314, 'h', RELEASE
3315, 'e', PRESS
3363, Key.space, PRESS
3391, 'e', RELEASE
3479, Key.space, RELEASE
3480, 'l', PRESS
3546, 'a', PRESS
3571, 'l', RELEASE
3639, 'a', RELEASE
3726, 'z', PRESS
3774, 'y', PRESS
3826, 'z', RELEASE
3869, Key.space, PRESS
3869, 'y', RELEASE
3936, 'd', PRESS
3970, Key.space, RELEASE
4037, 'o', PRESS
4037, 'd', RELEASE
4100, 'o', RELEASE
4126, 'g', PRESS
4227, 'g', RELEASE
4244, '.', PRESS
4338, '.', RELEASE
